id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
abandoned_pathway,hdri,polyhaven.com,CC0 1.0 Universal,21.2,abandoned_pathway_4k.exr,4k,unclassified,1,
ahornsteig,hdri,polyhaven.com,CC0 1.0 Universal,28.5,ahornsteig_4k.exr,4k,unclassified,1,
alps_field,hdri,polyhaven.com,CC0 1.0 Universal,81.7,alps_field_4k.exr,4k,lighting/exterior,4,exterior daytime
autumn_field,hdri,polyhaven.com,CC0 1.0 Universal,20.1,autumn_field_4k.exr,4k,lighting/exterior,4,exterior daytime
autumn_field_puresky,hdri,polyhaven.com,CC0 1.0,67.2,autumn_field_puresky_4k.exr,4k,lighting/midday,4,clear-sky default
autumn_hilly_field,hdri,polyhaven.com,CC0 1.0 Universal,92.6,autumn_hilly_field_4k.exr,4k,lighting/exterior,4,exterior daytime
autumn_meadow,hdri,polyhaven.com,CC0 1.0 Universal,22.9,autumn_meadow_4k.exr,4k,unclassified,1,
bambanani_sunset,hdri,polyhaven.com,CC0 1.0,91.8,bambanani_sunset_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
belfast_open_field,hdri,polyhaven.com,CC0 1.0 Universal,80.4,belfast_open_field_4k.exr,4k,lighting/exterior,4,exterior daytime
belfast_sunset,hdri,polyhaven.com,CC0 1.0 Universal,79.2,belfast_sunset_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
bell_park_dawn,hdri,polyhaven.com,CC0 1.0 Universal,21.9,bell_park_dawn_4k.exr,4k,lighting/dawn,5,subtropical morning shoot
blaubeuren_hillside,hdri,polyhaven.com,CC0 1.0 Universal,30.3,blaubeuren_hillside_4k.exr,4k,unclassified,1,
blouberg_sunrise_2,hdri,polyhaven.com,CC0 1.0 Universal,16.3,blouberg_sunrise_2_4k.exr,4k,lighting/dawn,5,subtropical morning shoot
citrus_orchard,hdri,polyhaven.com,CC0 1.0 Universal,91.9,citrus_orchard_4k.exr,4k,unclassified,1,
dikhololo_sunset,hdri,polyhaven.com,CC0 1.0 Universal,19.3,dikhololo_sunset_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
drackenstein_quarry,hdri,polyhaven.com,CC0 1.0 Universal,80.7,drackenstein_quarry_4k.exr,4k,unclassified,1,
evening_field,hdri,polyhaven.com,CC0 1.0 Universal,19.8,evening_field_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
evening_road_01,hdri,polyhaven.com,CC0 1.0 Universal,20.0,evening_road_01_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
forest_slope,hdri,polyhaven.com,CC0 1.0 Universal,29.5,forest_slope_4k.exr,4k,lighting/exterior,4,exterior daytime
harvest,hdri,polyhaven.com,CC0 1.0 Universal,92.7,harvest_4k.exr,4k,unclassified,1,
kiara_1_dawn,hdri,polyhaven.com,CC0 1.0,19.4,kiara_1_dawn_4k.exr,4k,lighting/dawn,5,subtropical morning shoot
kloofendal_48d_partly_cloudy_puresky,hdri,polyhaven.com,CC0 1.0,72.1,kloofendal_48d_partly_cloudy_puresky_4k.exr,4k,lighting/overcast,4,diffuse lighting / post-storm
kloppenheim_02_puresky,hdri,polyhaven.com,CC0 1.0,74.4,kloppenheim_02_puresky_4k.exr,4k,lighting/midday,4,clear-sky default
misty_pines,hdri,polyhaven.com,CC0 1.0,26.6,misty_pines_4k.exr,4k,lighting/overcast,4,diffuse lighting / post-storm
qwantani_dusk_2,hdri,polyhaven.com,CC0 1.0,91.9,qwantani_dusk_2_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
qwantani_sunset_puresky,hdri,polyhaven.com,CC0 1.0,66.4,qwantani_sunset_puresky_4k.exr,4k,lighting/dusk,5,warm finals / brochure shots
satara_night,hdri,polyhaven.com,CC0 1.0,30.5,satara_night_4k.exr,4k,lighting/night,4,night ambiance
shanghai_bund,hdri,polyhaven.com,CC0 1.0,20.7,shanghai_bund_4k.exr,4k,lighting/urban,2,non-LQV default — last resort
studio_small_03,hdri,polyhaven.com,CC0 1.0 Universal,20.9,studio_small_03_4k.exr,4k,lighting/interior,3,interior amenities
studio_small_09,hdri,polyhaven.com,CC0 1.0 Universal,17.7,studio_small_09_4k.exr,4k,lighting/interior,3,interior amenities
aerial_asphalt_01,texture,polyhaven.com,CC0 1.0,34.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/path,2,rural access roads
aerial_beach_01,texture,polyhaven.com,CC0 1.0,12.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
aerial_grass_rock,texture,polyhaven.com,CC0 1.0,39.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,grass scatter ground
aerial_ground_rock,texture,polyhaven.com,CC0 1.0 Universal,31.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/feature,4,hill outcrop / boulder
aerial_mud_1,texture,polyhaven.com,CC0 1.0,32.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,4,muddy tracks + creek surrounds
aerial_rocks_02,texture,polyhaven.com,CC0 1.0,35.0,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/feature,4,hill outcrop / boulder
aerial_sand,texture,polyhaven.com,CC0 1.0,28.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
Bricks003,texture,ambientcg.com,CC0 1.0 Universal,121.8,Color|Displacement|Roughness,?,unclassified,1,
Bricks017,texture,ambientcg.com,CC0 1.0 Universal,152.2,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks019,texture,ambientcg.com,CC0 1.0 Universal,163.2,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks022,texture,ambientcg.com,CC0 1.0 Universal,221.2,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks023,texture,ambientcg.com,CC0 1.0 Universal,213.0,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks025,texture,ambientcg.com,CC0 1.0 Universal,129.1,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks030,texture,ambientcg.com,CC0 1.0 Universal,221.5,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks050,texture,ambientcg.com,CC0 1.0 Universal,276.7,AmbientOcclusion|Color|Displacement|Roughness,?,unclassified,1,
Bricks051,texture,ambientcg.com,CC0 1.0 Universal,209.2,Color|Displacement|Roughness,?,unclassified,1,
