# Per-module line items
module,material,quantity,unit,unit_cost_usd,subtotal_usd,subtotal_pyg
bamboo_beton_28,bamboo_culm,53.4000,m,11.00,587.40,4288020
bamboo_beton_28,palm_thatch,40.4800,m2,38.00,1538.24,11229152
bamboo_beton_28,lapacho_timber,1.1360,m3,1100.00,1249.60,9122080
bamboo_beton_28,concrete,6.8440,m3,300.00,2053.20,14988360
bamboo_beton_28,sandstone,5.5200,m3,320.00,1766.40,12894720
bamboo_beton_28,pv_glass,1.9600,m2,240.00,470.40,3433920
bamboo_beton_28,fasteners_lashings,251.0000,count,1.10,276.10,2015530
bamboo_beton_28,borax_boric_treatment,32.0000,kg,8.00,256.00,1868800
bamboo_beton_30,concrete_service_wall,6.8940,m3,300.00,2068.20,15097860
bamboo_beton_30,bamboo_culm,65.2000,m,11.00,717.20,5235560
bamboo_beton_30,palm_thatch,45.3600,m2,38.00,1723.68,12582864
bamboo_beton_30,lapacho_timber,0.9800,m3,1100.00,1078.00,7869400
bamboo_beton_30,sandstone_foundation,5.2800,m3,320.00,1689.60,12334080
bamboo_beton_30,lapacho_door,1.0000,count,380.00,380.00,2774000
bamboo_beton_30,glass_glazing,2.7200,m2,240.00,652.80,4765440
bamboo_beton_30,fasteners_lashings,290.0000,count,1.10,319.00,2328700
bamboo_beton_family_curved,concrete_service_spine,22.2500,m3,320.00,7120.00,51976000
bamboo_beton_family_curved,bamboo_culm,79.0000,m,12.00,948.00,6920400
bamboo_beton_family_curved,palm_thatch,164.0400,m2,40.00,6561.60,47899680
bamboo_beton_family_curved,lapacho_deck,11.3230,m3,1050.00,11889.15,86790795
bamboo_beton_family_curved,lapacho_joinery,1.7970,m3,1300.00,2336.10,17053530
bamboo_beton_family_curved,sandstone_foundation,11.5600,m3,330.00,3814.80,27848040
bamboo_beton_family_curved,pv_glass_clerestory,2.7600,m2,260.00,717.60,5238480
bamboo_beton_family_curved,fasteners_lashings,404.0000,count,1.20,484.80,3539040
bamboo_beton_family_curved,borax_boric_treatment,14.2000,kg,9.00,127.80,932940
bamboo_beton_family_curved,curtain_textile,45.8000,m2,28.00,1282.40,9361520
bamboo_beton_family_curved,ceramic_kitchen_tile,14.4000,m2,36.00,518.40,3784320
bamboo_beton_family_rectangular,concrete_service_spine,12.8400,m3,295.00,3787.80,27650940
bamboo_beton_family_rectangular,bamboo_culm,352.9000,m,11.00,3881.90,28337870
bamboo_beton_family_rectangular,palm_thatch,152.6300,m2,30.00,4578.90,33425970
bamboo_beton_family_rectangular,lapacho_deck,6.2500,m3,880.00,5500.00,40150000
bamboo_beton_family_rectangular,lapacho_joinery,2.5490,m3,1300.00,3313.70,24190010
bamboo_beton_family_rectangular,sandstone_foundation,11.2800,m3,330.00,3722.40,27173520
bamboo_beton_family_rectangular,plywood_lapacho_gable,39.0000,m2,48.00,1872.00,13665600
bamboo_beton_family_rectangular,pv_glass_glazing,3.2400,m2,240.00,777.60,5676480
bamboo_beton_family_rectangular,fasteners_lashings,260.0000,count,1.20,312.00,2277600
bamboo_beton_family_rectangular,borax_boric_treatment,63.5000,kg,9.00,571.50,4171950
bamboo_beton_family_rectangular,ceramic_kitchen_tile,14.4000,m2,36.00,518.40,3784320
bamboo_beton_family_rectangular,rebar_steel,1219.8000,kg,1.45,1768.71,12911583
bamboo_boomhut_treehouse,bamboo_culm,180.0000,m,6.00,1080.00,7884000
bamboo_boomhut_treehouse,palm_thatch,22.0000,m2,22.00,484.00,3533200
bamboo_boomhut_treehouse,lapacho_deck_planks,0.5000,m3,1800.00,900.00,6570000
bamboo_boomhut_treehouse,lapacho_railing_stair,0.4000,m3,1800.00,720.00,5256000
bamboo_boomhut_treehouse,rope_hemp,60.0000,m,3.50,210.00,1533000
bamboo_boomhut_treehouse,mosquito_mesh,8.0000,m2,12.00,96.00,700800
bamboo_boomhut_treehouse,solar_pv_panels,2.0000,count,180.00,360.00,2628000
bamboo_boomhut_treehouse,fasteners_hardware,350.0000,count,0.80,280.00,2044000
bamboo_container_4pax,shipping_container_20ft,1.0000,count,3500.00,3500.00,25550000
bamboo_container_4pax,container_envelope_finish,3.0000,count,3500.00,10500.00,76650000
bamboo_container_4pax,container_handling_set,1.0000,count,850.00,850.00,6205000
bamboo_container_4pax,container_opening_cuts,4.0000,count,240.00,960.00,7008000
bamboo_container_4pax,concrete_slab_plinth,5.7500,m3,180.00,1035.00,7555500
bamboo_container_4pax,bamboo_culm,51.6000,m,22.00,1135.20,8286960
bamboo_container_4pax,palm_thatch,26.6000,m2,85.00,2261.00,16505300
bamboo_container_4pax,lapacho_entry_door,1.0000,count,620.00,620.00,4526000
bamboo_container_4pax,lapacho_window_frames,2.0000,count,480.00,960.00,7008000
bamboo_container_4pax,sliding_door_assembly,1.0000,count,1950.00,1950.00,14235000
bamboo_container_4pax,insulated_glazing_units,1.7100,m2,320.00,547.20,3994560
bamboo_container_4pax,mosquito_mesh_screen,4.1000,m2,38.00,155.80,1137340
bamboo_container_4pax,fasteners_lashings,78.0000,count,2.20,171.60,1252680
bamboo_curved_roof_villa,lapacho_timber,2.2000,m3,1800.00,3960.00,28908000
bamboo_curved_roof_villa,palm_thatch,95.0000,m2,14.00,1330.00,9709000
bamboo_curved_roof_villa,clay_plaster,60.0000,m2,8.00,480.00,3504000
bamboo_curved_roof_villa,glass_panes,14.0000,m2,60.00,840.00,6132000
bamboo_curved_roof_villa,sandstone_footing,0.8000,m3,220.00,176.00,1284800
bamboo_outdoor_shower,bamboo_culm,23.6000,m,6.00,141.60,1033680
bamboo_outdoor_shower,lapacho_timber,0.0400,m3,1800.00,72.00,525600
bamboo_outdoor_shower,sandstone_drain,0.1500,m3,100.00,15.00,109500
bamboo_outdoor_shower,steel_arm,1.0000,count,28.00,28.00,204400
bamboo_outdoor_shower,rope_hemp,5.0000,m,3.50,17.50,127750
bamboo_portal,lapacho_timber,0.3600,m3,1800.00,648.00,4730400
bamboo_portal,bamboo_culm,28.0000,m,6.00,168.00,1226400
bamboo_portal,sandstone_plinth,0.1000,m3,220.00,22.00,160600
bamboo_portal,rope_hemp,4.0000,m,3.50,14.00,102200
bamboo_portal,fasteners_hardware,24.0000,count,0.80,19.20,140160
bamboo_river_house,bamboo_culm,280.0000,m,4.00,1120.00,8176000
bamboo_river_house,palm_thatch,38.0000,m2,14.00,532.00,3883600
bamboo_river_house,bamboo_shingle,20.0000,m2,18.00,360.00,2628000
bamboo_river_house,lapacho_timber,1.4000,m3,1100.00,1540.00,11242000
bamboo_river_house,stone_foundation,2.4000,m3,320.00,768.00,5606400
bamboo_river_house,mosquito_mesh,24.0000,m2,12.00,288.00,2102400
bamboo_river_house,fasteners_lashings,600.0000,count,1.10,660.00,4818000
bamboo_river_house,suspended_walkway_cable,14.0000,m,9.00,126.00,919800
bamboo_wigwam_lodge,bamboo_culm,85.8000,m,6.50,557.70,4071210
bamboo_wigwam_lodge,palm_thatch,40.4000,m2,30.00,1212.00,8847600
bamboo_wigwam_lodge,sandstone_foundation,2.3800,m3,380.00,904.40,6602120
bamboo_wigwam_lodge,lapacho_floor_mat,18.1000,m2,26.00,470.60,3435380
bamboo_wigwam_lodge,lapacho_door,1.0000,count,480.00,480.00,3504000
bamboo_wigwam_lodge,fasteners_lashings,150.0000,count,1.40,210.00,1533000
bamboo_wigwam_lodge,mosquito_mesh,3.0000,m2,22.00,66.00,481800
bamboo_wigwam_lodge,borax_boric_treatment,28.8000,kg,9.00,259.20,1892160
candle_path,sandstone,14.0000,count,8.00,112.00,817600
candle_path,lapacho_timber,0.0500,m3,1800.00,90.00,657000
candle_path,lantern_glow_panels,8.0000,count,5.00,40.00,292000
clay_terracotta_estate,clay_plaster,220.0000,m2,8.00,1760.00,12848000
clay_terracotta_estate,clay_block,480.0000,count,1.10,528.00,3854400
clay_terracotta_estate,terracotta_tile,130.0000,m2,28.00,3640.00,26572000
clay_terracotta_estate,lapacho_timber,1.4000,m3,1800.00,2520.00,18396000
clay_terracotta_estate,sandstone,6.5000,m3,220.00,1430.00,10439000
clay_terracotta_estate,glass_panes,18.0000,m2,60.00,1080.00,7884000
clay_terracotta_estate,rebar_anchors,120.0000,count,2.00,240.00,1752000
container_river_house,shipping_container_20ft,1.0000,count,3500.00,3500.00,25550000
container_river_house,corten_cladding,32.0000,m2,48.00,1536.00,11212800
container_river_house,bamboo_accent,24.0000,m,9.00,216.00,1576800
container_river_house,glass_river_wall,13.5000,m2,240.00,3240.00,23652000
container_river_house,steel_ibeam_piers,10.0000,m,95.00,950.00,6935000
container_river_house,lapacho_deck_boards,7.0000,m2,95.00,665.00,4854500
container_river_house,lapacho_stair_treads,5.0000,count,38.00,190.00,1387000
container_river_house,solar_pv_panels,4.0000,count,180.00,720.00,5256000
container_river_house,fasteners_misc,250.0000,count,1.20,300.00,2190000
hobbit_house,cob_walls,19.4800,m3,95.00,1850.60,13509380
hobbit_house,stone_foundation,2.8200,m3,140.00,394.80,2882040
hobbit_house,lapacho_timber,1.1790,m3,1450.00,1709.55,12479715
hobbit_house,sod_roof_grass,89.8000,m2,18.00,1616.40,11799720
hobbit_house,glass_glazing,0.1960,m2,240.00,47.04,343392
hobbit_house,lapacho_round_door,1.0000,count,520.00,520.00,3796000
hobbit_house,fasteners_misc,180.0000,count,1.40,252.00,1839600
