binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Abarema auriculata,Fabaceae,Abarema auriculata (Benth.) Barneby & J.W.Grimes,tree,new to AF,87,NA,2.7,occasional,Not in the AF,2,74,,,,,,,,,,
Abarema barnebyana,Fabaceae,Abarema barnebyana Iganci & M.P.Morim,tree,confirmed,14,NA,100.0,pure_endemic,Endemic,14,0,,,,,,,,,,
Abarema brachystachya,Fabaceae,Abarema brachystachya (DC.) Barneby & J.W.Grimes,tree,confirmed,265,NA,95.41,near_endemic,Endemic,227,9,,,,,,,,,,
Abarema cochleata,Fabaceae,Abarema cochleata (Willd.) Barneby & J.W.Grimes,tree,new to AF,138,NA,0.79,occasional,Not in the AF,1,131,,,,,,,,,,
Abarema cochliacarpos,Fabaceae,Abarema cochliacarpos (Gomes) Barneby & J.W.Grimes,tree,confirmed,321,NA,86.58,widespread,Not endemic,204,11,,,,,,,,,,
Abarema filamentosa,Fabaceae,Abarema filamentosa (Benth.) Pittier,tree,confirmed,268,NA,99.39,near_endemic,Endemic,246,1,,,,,,,,,,
Abarema jupunba,Fabaceae,Abarema jupunba (Willd.) Britton & Killip,tree,confirmed,626,NA,9.39,occasional,Not endemic,35,363,,,,,,,,,,
Abarema laeta,Fabaceae,Abarema laeta (Benth.) Barneby & J.W.Grimes,tree,new to AF,165,NA,0.93,occasional,Not in the AF,1,110,,,,,,,,,,
Abarema langsdorffii,Fabaceae,Abarema langsdorffii (Benth.) Barneby & J.W.Grimes,tree,confirmed,242,NA,100.0,pure_endemic,Not endemic,223,0,,,,,,,,,,
Abarema limae,Fabaceae,Abarema limae Iganci & M.P.Morim,tree,confirmed,15,NA,100.0,pure_endemic,Endemic,15,0,,,,,,,,,,
Abarema turbinata,Fabaceae,Abarema turbinata (Benth.) Barneby & J.W.Grimes,tree,confirmed,47,NA,100.0,pure_endemic,Endemic,42,0,,,,,,,,,,
Abarema villosa,Fabaceae,Abarema villosa Iganci & M.P.Morim,tree,confirmed,37,NA,48.28,widespread,Not endemic,12,12,,,,,,,,,,
Abatia americana,Salicaceae,Abatia americana (Gardner) Eichler,shrub,confirmed,115,NA,99.05,near_endemic,Not endemic,85,0,,,,,,,,,,
Abutilon grandifolium,Malvaceae,Abutilon grandifolium (Willd.) Sweet,shrub,confirmed,170,NA,4.26,occasional,Endemic,7,125,,,,,,yes,iNat,1,hairy abutilon,
Abutilon ramiflorum,Malvaceae,Abutilon ramiflorum A.St.-Hil.,shrub,confirmed,93,NA,14.15,widespread,Not endemic,18,54,,,,,,,,,,
Acaena myriophylla,,Acaena myriophylla,,in AR list but not in AF checklist,0,,,,,,,,,cat1: Plantas muy abundantes en los lugares de origen y con amplia distribución ,,,,,,,
Acalypha brasiliensis,Euphorbiaceae,Acalypha brasiliensis Mull.Arg.,shrub,confirmed,367,NA,86.29,widespread,Not endemic,257,42,,,,,,,,,,
Acalypha communis,Euphorbiaceae,Acalypha communis Mull.Arg.,shrub,confirmed,442,NA,25.5,widespread,Not endemic,122,189,,,,,,yes,GBIF,25,akalyfa bežná,
Acalypha cuneata,Euphorbiaceae,Acalypha cuneata Poepp.,tree,confirmed,729,NA,3.48,occasional,Not endemic,17,429,,,,,,,,,,
Acalypha diversifolia,Euphorbiaceae,Acalypha diversifolia Jacq.,tree,new to AF,2515,NA,1.04,occasional,Not in the AF,15,1671,,,,,,,,,,
Acalypha gracilis,Euphorbiaceae,Acalypha gracilis Spreng.,shrub,confirmed,313,NA,83.77,widespread,Not endemic,238,38,,,,,,,,,,
Acalypha macrostachya,Euphorbiaceae,Acalypha macrostachya Jacq.,tree,new to AF,1845,NA,0.37,occasional,Not in the AF,5,1196,,,,,,,,,,
Acalypha multicaulis,Euphorbiaceae,Acalypha multicaulis Mull.Arg.,shrub,confirmed,250,NA,27.51,widespread,Not endemic,58,129,,,,,,,,,,
Acalypha villosa,Euphorbiaceae,Acalypha villosa Jacq.,tree,new to AF,882,NA,3.28,occasional,Not in the AF,19,612,,,,,,,,,,
Acanthocladus brasiliensis,Polygalaceae,Acanthocladus brasiliensis (Klotzsch ex A.St.-Hil. & Moq.) Hassk.,shrub,confirmed,82,NA,94.55,near_endemic,Endemic,64,4,,,,,,,,,,
Acanthocladus dichromus,Polygalaceae,Acanthocladus dichromus (Steud.) J.F.B.Pastore,tree,new to AF,52,NA,29.51,widespread,Not in the AF,12,23,,,,,,,,,,
Acanthocladus pulcherrimus,Polygalaceae,Acanthocladus pulcherrimus (Kuhlm.) J.F.B.Pastore & D.B.O.S.Cardoso,tree,confirmed,25,NA,100.0,pure_endemic,Endemic,23,0,,,,,,,,,,
Acanthocladus santosii,Polygalaceae,Acanthocladus santosii (Wurdack) J.F.B.Pastore & D.B.O.S.Cardoso,tree,confirmed,9,NA,100.0,pure_endemic,Endemic,9,0,,,,,,,,,,
Acantholippia seriphioides,,Acantholippia seriphioides,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Acanthostachys strobilacea,,Acanthostachys strobilacea,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,,,,,
Acanthosyris paulo-alvinii,Santalaceae,Acanthosyris paulo-alvinii G.M. Barroso,tree,new to AF,3,NA,100.0,pure_endemic,Not in the AF,3,0,,,,,,,,,,
Acanthosyris spinescens,Santalaceae,Acanthosyris spinescens (Mart. & Eichler) Griseb.,tree,probable occurrence in the AF,22,,,,,,,,,,,,,,,,
