source,class,order,family,genus,scientificName,vernacularName,occurrenceCount,iucnRedListCategory
GBIF,Aves,Passeriformes,Thraupidae,Thraupis,Thraupis sayaca,Celestino,447,
GBIF,Aves,Accipitriformes,Cathartidae,Coragyps,Coragyps atratus,Buitre negro americano,412,
GBIF,Aves,Columbiformes,Columbidae,Leptotila,Leptotila verreauxi,Paloma Apical,405,
GBIF,Aves,Passeriformes,Tyrannidae,Pitangus,Pitangus sulphuratus,Benteveo,404,
GBIF,Aves,Passeriformes,Furnariidae,Furnarius,Furnarius rufus,Hornero,387,
GBIF,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus chilensis,Alcaraván,387,
GBIF,Aves,Passeriformes,Turdidae,Turdus,Turdus rufiventris,Zorzal colorado,367,
GBIF,Aves,Passeriformes,Vireonidae,Cyclarhis,Cyclarhis gujanensis,Alegrín de Cejas Rojizas,358,
GBIF,Aves,Passeriformes,Turdidae,Turdus,Turdus leucomelas,Mirla ventriblanca,341,
GBIF,Aves,Cuculiformes,Cuculidae,Crotophaga,Crotophaga ani,"""Garrapatero Piquiliso, Garrapatero""",332,
GBIF,Aves,Cuculiformes,Cuculidae,Guira,Guira guira,Cuclillo Guira,301,
GBIF,Aves,Piciformes,Picidae,Colaptes,Colaptes campestris,Carpintero campestre,292,
GBIF,Aves,Columbiformes,Columbidae,Columbina,Columbina talpacoti,Columbina colorada,274,
GBIF,Aves,Passeriformes,Icteridae,Cacicus,Cacicus haemorrhous,Boyero cacique,271,
GBIF,Aves,Passeriformes,Corvidae,Cyanocorax,Cyanocorax chrysops,Arrendajo de cresta alborotada,267,
GBIF,Aves,Accipitriformes,Accipitridae,Rupornis,Rupornis magnirostris,Aguililla caminera,261,
GBIF,Aves,Passeriformes,Parulidae,Basileuterus,Basileuterus culicivorus,Arañero chico,258,
GBIF,Aves,Passeriformes,Tyrannidae,Tyrannus,Tyrannus melancholicus,Benteveo real,248,
GBIF,Aves,Passeriformes,Troglodytidae,Troglodytes,Troglodytes musculus,Chercán,218,
GBIF,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus tataupa,Perdiz Tataupá,215,
GBIF,Aves,Psittaciformes,Psittacidae,Brotogeris,Brotogeris chiriri,Catita chiriri,213,
GBIF,Aves,Passeriformes,Thraupidae,Saltator,Saltator coerulescens,Pepitero Grisáceo,208,
GBIF,Aves,Passeriformes,Furnariidae,Phacellodomus,Phacellodomus ruber,Espinero grande,206,
