category,type,lon,lat,centroid_lon,centroid_lat,elevation_m,elevation_m_est,drop_to_lowest_neighbor_m,estimated_height_m,estimated_waterfall_height_m,higher_neighbors,size_pixels,approx_area_ha,flow_accumulation_cells,gps_altitude_m,confidence,source,note
waterfall,waterfall_candidate,-57.01902777776062,-25.625138888904488,,,287.0,,28.0,,28.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.018749999982845,-25.625138888904488,,,296.0,,28.0,,28.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01652777776062,-25.626805555571156,,,235.0,,27.0,,27.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.015972222205065,-25.626805555571156,,,234.0,,26.0,,26.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01847222220507,-25.625416666682266,,,275.0,,25.0,,25.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01986111109396,-25.625416666682266,,,226.0,,24.0,,24.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.018749999982845,-25.625694444460045,,,245.0,,24.0,,24.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01819444442729,-25.625694444460045,,,260.0,,24.0,,24.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.02041666664951,-25.624583333348934,,,207.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01986111109396,-25.625138888904488,,,236.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.0193055555384,-25.625138888904488,,,271.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.015972222205065,-25.625138888904488,,,298.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.018749999982845,-25.625416666682266,,,268.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01819444442729,-25.625416666682266,,,283.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.015972222205065,-25.625416666682266,,,290.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01569444442729,-25.625416666682266,,,267.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01902777776062,-25.625694444460045,,,237.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01847222220507,-25.625694444460045,,,250.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01791666664951,-25.625694444460045,,,271.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.015972222205065,-25.625694444460045,,,285.0,,23.0,,23.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01819444442729,-25.61958333334893,,,257.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.02097222220507,-25.621805555571154,,,241.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.02069444442729,-25.622083333348932,,,235.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01958333331618,-25.624861111126712,,,264.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01902777776062,-25.625416666682266,,,259.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
waterfall,waterfall_candidate,-57.01569444442729,-25.625972222237824,,,259.0,,22.0,,22.0,2,,,,,high,DEM step-detection (ALOS AW3D30 30m),
