scientificName,vernacularName,family,order,occurrenceCount,iucnRedListCategory,seen_within_5km,n_obs_5km,months_seen
Melanophryniscus stelzneri,Redbelly Toad,Bufonidae,Anura,152,,,0,
Lysapsus limellum,,Hylidae,Anura,12,,,0,
Rhinella diptycha,Cururú,Bufonidae,Anura,9,,yes,1,Jan·Feb·Aug·Sep·Oct·Nov·Dec
Adenomera diptyx,Chacoan Tropical Bullfrog,Leptodactylidae,Anura,7,,,0,
Elachistocleis bicolor,Rana Pinguino,Microhylidae,Anura,5,,,0,May·Sep·Dec
Dendropsophus nanus,Ranita trepadora enana,Hylidae,Anura,5,,,0,
Boana raniceps,Rana Arborea Meridional,Hylidae,Anura,4,,,0,
Scinax fuscovarius,Fuscous-blotched Treefrog,Hylidae,Anura,3,,,0,Feb·Aug
Osteopilus ocellatus,Jamaican Laughing Frog,Hylidae,Anura,3,,,0,
Melanophryniscus fulvoguttatus,Spotted Red-belly Toad,Bufonidae,Anura,2,,,0,May
Physalaemus biligonigerus,Rana llorona,Leptodactylidae,Anura,2,,,0,
Rhinella fernandezae,,Bufonidae,Anura,2,,,0,
Adenomera guarani,,Leptodactylidae,Anura,1,,,0,
Physalaemus cuvieri,Barker Frog,Leptodactylidae,Anura,1,,,0,
Pseudis paradoxa,Swimming Frog,Hylidae,Anura,1,,,0,
Leptodactylus chaquensis,Leptodactyle du Chaco (Le),Leptodactylidae,Anura,1,,,0,
Leptodactylus podicipinus,Rana puntiaguda espumera,Leptodactylidae,Anura,1,,,0,
Leptodactylus elenae,Rana de elena,Leptodactylidae,Anura,1,,,0,
