scientificName,vernacularName,family,order,occurrenceCount,iucnRedListCategory,seen_within_5km,n_obs_5km,months_seen
Thraupis sayaca,Celestino,Thraupidae,Passeriformes,447,,,0,
Coragyps atratus,Buitre negro americano,Cathartidae,Accipitriformes,412,,,0,Mar·Jul·Sep·Nov·Dec
Leptotila verreauxi,Paloma Apical,Columbidae,Columbiformes,405,,,0,Oct
Pitangus sulphuratus,Benteveo,Tyrannidae,Passeriformes,404,,,0,
Furnarius rufus,Hornero,Furnariidae,Passeriformes,387,,,0,
Vanellus chilensis,Alcaraván,Charadriidae,Charadriiformes,387,,,0,Jan·May·Aug·Nov
Turdus rufiventris,Zorzal colorado,Turdidae,Passeriformes,367,,,0,
Cyclarhis gujanensis,Alegrín de Cejas Rojizas,Vireonidae,Passeriformes,358,,,0,Dec
Turdus leucomelas,Mirla ventriblanca,Turdidae,Passeriformes,341,,,0,
Crotophaga ani,"""Garrapatero Piquiliso, Garrapatero""",Cuculidae,Cuculiformes,332,,yes,1,Aug·Sep·Dec
Guira guira,Cuclillo Guira,Cuculidae,Cuculiformes,301,,,0,Feb
Colaptes campestris,Carpintero campestre,Picidae,Piciformes,292,,,0,
Columbina talpacoti,Columbina colorada,Columbidae,Columbiformes,274,,,0,
Cacicus haemorrhous,Boyero cacique,Icteridae,Passeriformes,271,,,0,
Cyanocorax chrysops,Arrendajo de cresta alborotada,Corvidae,Passeriformes,267,,,0,Jan·Jul·Aug·Nov
Rupornis magnirostris,Aguililla caminera,Accipitridae,Accipitriformes,261,,,0,Aug·Sep
Basileuterus culicivorus,Arañero chico,Parulidae,Passeriformes,258,,,0,
Tyrannus melancholicus,Benteveo real,Tyrannidae,Passeriformes,248,,,0,Jan
Troglodytes musculus,Chercán,Troglodytidae,Passeriformes,218,,,0,Nov
Crypturellus tataupa,Perdiz Tataupá,Tinamidae,Tinamiformes,215,,,0,
Brotogeris chiriri,Catita chiriri,Psittacidae,Psittaciformes,213,,,0,Jan·Jul
Saltator coerulescens,Pepitero Grisáceo,Thraupidae,Passeriformes,208,,,0,
Phacellodomus ruber,Espinero grande,Furnariidae,Passeriformes,206,,,0,
Turdus amaurochalinus,Sabiá,Turdidae,Passeriformes,195,,,0,Jan
Campylorhynchus turdinus,Cucarachero turdino,Troglodytidae,Passeriformes,190,,,0,
Hemitriccus margaritaceiventer,Mosqueta ojo dorado,Tyrannidae,Passeriformes,187,,,0,
Myiopsitta monachus,Cotorra,Psittacidae,Psittaciformes,184,,,0,
Piaya cayana,Bobo Chiso,Cuculidae,Cuculiformes,181,,,0,
Paroaria coronata,Cardenal,Thraupidae,Passeriformes,177,,,0,
Lepidocolaptes angustirostris,Chinchero chico,Furnariidae,Passeriformes,175,,,0,
Melanerpes candidus,Carpintero blanco,Picidae,Piciformes,172,,,0,
Euphonia chlorotica,Eufonia Golipúrpura,Fringillidae,Passeriformes,169,,,0,
Coryphospingus cucullatus,Brasita de fuego,Thraupidae,Passeriformes,165,,,0,Aug
Megarynchus pitangua,Bichofué picudo,Tyrannidae,Passeriformes,162,,,0,
Columbina picui,Columbina picuí,Columbidae,Columbiformes,157,,,0,Sep
Myiodynastes maculatus,Benteveo chico,Tyrannidae,Passeriformes,153,,,0,Jan
Mimus saturninus,Calandria,Mimidae,Passeriformes,153,,,0,
Gnorimopsar chopi,Chopí,Icteridae,Passeriformes,145,,,0,
Colaptes melanochloros,Carpintero nuca roja,Picidae,Piciformes,144,,,0,
Tapera naevia,Crespín,Cuculidae,Cuculiformes,143,,,0,
Chlorostilbon lucidus,Esmeralda de Vientre Dorado,Trochilidae,Apodiformes,139,,,0,Sep·Dec
Syrigma sibilatrix,Chiflón,Ardeidae,Pelecaniformes,138,,,0,Jan·Mar·Nov
Taraba major,Batará Mayor,Thamnophilidae,Passeriformes,137,,,0,
Pteroglossus castanotis,Arasari Orejicastaño,Ramphastidae,Piciformes,132,,,0,Jan·May·Jun·Jul
Zonotrichia capensis,Afrechito,Passerellidae,Passeriformes,132,,,0,
Thamnophilus doliatus,Batará Barreteado,Thamnophilidae,Passeriformes,125,,,0,
Aratinga leucophthalma,White-eyed Parakeet,Psittacidae,Psittaciformes,124,,,0,
Dendrocolaptes platyrostris,Trepador oscuro,Furnariidae,Passeriformes,124,,,0,
Cyanocorax cyanomelas,Arrendajo morado,Corvidae,Passeriformes,119,,,0,Jan
Sicalis flaveola,Canario coronado,Thraupidae,Passeriformes,119,,,0,
