scientific_name,n_obs_25km
Ameiva ameiva,1
Amphisbaena alba,1
Apostolepis dimidiata,1
Bothrops diporus,2
Dipsas turgida,1
Erythrolamprus poecilogyrus,1
Hemidactylus mabouia,2
Homonota rupicola,1
Iguana iguana,1
Leptophis marginatus,1
Micrablepharus maximiliani,1
Micrurus frontalis,1
Notomabuya frenata,1
Phalotris matogrossensis,1
Philodryas aestiva,1
Philodryas olfersii,1
Philodryas patagoniensis,2
Polychrus acutirostris,1
Salvator merianae,3
Stenocercus caducus,1
Teius teyou,2
Tropidurus guarani,5
Tropidurus lagunablanca,2
Tropidurus spinulosus,1
