scientificName,vernacularName,family,order,occurrenceCount,iucnRedListCategory,seen_within_5km,n_obs_5km,months_seen
Sooretamys angouya,Colilargo paraguayo,Cricetidae,Rodentia,31,,,0,
Desmodus rotundus,Desmodus rotundus,Phyllostomidae,Chiroptera,28,,,0,
Nectomys squamipes,Atlantic Forest Nectomys,Cricetidae,Rodentia,27,,,0,
Molossus rufus,Moloso cola gruesa grande,Molossidae,Chiroptera,27,,,0,
Carollia perspicillata,Murciélago cola corta de Sebas,Phyllostomidae,Chiroptera,25,,,0,
Artibeus lituratus,Murciélago frugívoro común,Phyllostomidae,Chiroptera,23,,,0,
Molossops temminckii,Moloso pigmeo,Molossidae,Chiroptera,20,,,0,
Akodon montensis,Ratón selvático,Cricetidae,Rodentia,20,,,0,
Sturnira lilium,Little Yellow-Shouldered Bat,Phyllostomidae,Chiroptera,19,,,0,
Cynomops abrasus,Moloso rojizo,Molossidae,Chiroptera,19,,,0,
Oligoryzomys nigripes,Colilargo isleño,Cricetidae,Rodentia,16,,,0,
Platyrrhinus lineatus,Frutero de línea dorsal,Phyllostomidae,Chiroptera,16,,,0,Sep
Nyctinomops laticaudatus,Moloso labios arrugados chico,Molossidae,Chiroptera,15,,,0,
Myotis nigricans,Murcielaguito negruzco común,Vespertilionidae,Chiroptera,9,,,0,
Promops nasutus,Moloso cola larga chico,Molossidae,Chiroptera,8,,,0,
Akodon cursor,Cursor Grass Mouse,Cricetidae,Rodentia,8,,,0,
Dasypterus ega,Murciélago amarillo del sur,Vespertilionidae,Chiroptera,7,,,0,
Eptesicus furinalis,Eptesicus de Argentina,Vespertilionidae,Chiroptera,7,,,0,
Glossophaga soricina,Murciélago lengüetón,Phyllostomidae,Chiroptera,6,,,0,
Pygoderma bilabiatum,Murciélago de hombros blancos,Phyllostomidae,Chiroptera,6,,,0,
Promops centralis,Moloso cola larga grande,Molossidae,Chiroptera,5,,,0,
Chrotopterus auritus,Falso vampiro orejón,Phyllostomidae,Chiroptera,5,,,0,
Eumops bonariensis,Moloso orejas anchas pardo,Molossidae,Chiroptera,4,,,0,
Lasiurus borealis,Murciélago cola peluda rojizo,Vespertilionidae,Chiroptera,4,,,0,
Mazama gouazoubira,Cabra Silvestre,Cervidae,Artiodactyla,4,,,0,
Myotis ruber,Murcielaguito rojo,Vespertilionidae,Chiroptera,3,,,0,
Thrichomys apereoides,Common Punare,Echimyidae,Rodentia,3,,,0,
Molossus molossus,Moloso cola gruesa chico,Molossidae,Chiroptera,3,,,0,
Carollia brevicaudum,Murciélago frutero de la selva nublada,Phyllostomidae,Chiroptera,2,,,0,
Cerdocyon thous,Perro Sabanero,Canidae,Carnivora,2,,yes,1,Jun·Jul·Oct
Leopardus pardalis,Ek-such,Felidae,Carnivora,2,,,0,
Puma yagouaroundi,jaguarundi,Felidae,Carnivora,2,,,0,
Sylvilagus brasiliensis,Conejo Tapetí,Leporidae,Lagomorpha,2,,yes,1,Jun
Didelphis albiventris,Comadreja Común,Didelphidae,Didelphimorphia,2,,,0,Apr·Oct
Philander frenatus,South-eastern Four-eyed,Didelphidae,Didelphimorphia,2,,,0,
Philander opossum,Comadreja De Cuatro Ojos,Didelphidae,Didelphimorphia,2,,,0,
Chironectes minimus,Chucha de agua | ratón de agua | runcho de agua | zarigüeya de agua,Didelphidae,Didelphimorphia,2,,,0,
Oecomys franciscorum,Ratón de los Franciscos,Cricetidae,Rodentia,2,,,0,
Aeorestes cinereus,Murciélago-cola peluda canoso,Vespertilionidae,Chiroptera,1,,,0,
Tonatia bidens,Falso vampiro orejas redondas,Phyllostomidae,Chiroptera,1,,,0,
Artibeus fimbriatus,Frutero grande oscuro,Phyllostomidae,Chiroptera,1,,,0,
Leopardus wiedii,Burricon,Felidae,Carnivora,1,,,0,Oct
Tamandua tetradactyla,Brazo Fuerte,Myrmecophagidae,Pilosa,1,,,0,Nov
Alouatta caraya,Aullador Negro,Atelidae,Primates,1,,,0,Jul
Dasyprocta azarae,Agutí bayo,Dasyproctidae,Rodentia,1,,,0,Nov
Sphiggurus spinosus,Paraguaian Hairy Dwarf Porcupine,Erethizontidae,Rodentia,1,,,0,
Oxymycterus delator,Hocicudo-Púrpureo de Paraguay,Cricetidae,Rodentia,1,,,0,
Rattus rattus,Rata Negra,Muridae,Rodentia,1,,,0,
Kannabateomys amblyonyx,Rata tacuarera,Echimyidae,Rodentia,1,,,0,
Didelphis aurita,Comadreja Orejas Negras,Didelphidae,Didelphimorphia,1,,,0,
Dasypus novemcinctus,Armadillo Común | Armadillo (generalizado),Dasypodidae,Cingulata,1,,,0,Nov
Euphractus sexcinctus,Gualacate,Dasypodidae,Cingulata,1,,,0,
Chaetophractus villosus,Peludo,Dasypodidae,Cingulata,1,,,0,
Thrichomys pachyurus,Foster's Punare,Echimyidae,Rodentia,1,,,0,
Cryptonanus chacoensis,Comadrejita ágil,Didelphidae,Didelphimorphia,1,,,0,
Eumops patagonicus,Moloso gris de orejas anchas,Molossidae,Chiroptera,1,,,0,
Mus musculus,Bigañuelo,Muridae,Rodentia,1,,,0,
Procyon cancrivorus,Cangrejera,Procyonidae,Carnivora,1,,,0,Sep
Metachirus nudicaudatus,Tlacuache-cuatrojos café,Didelphidae,Didelphimorphia,1,,,0,
