binomial,family,life_form,lqv_vernacular,lqv_25km_occurrences,seen_within_5km,n_obs_5km,months_seen,py_threat_category,ar_threat_category,endemism_group,uses,is_timber,lqv_priority_score
Eugenia uniflora,Myrtaceae,tree,cerezo de Cayena,28,,0,,,,widespread,food | medicinal,,5
Psidium guineense,Myrtaceae,tree,Allpa guayaba,24,,0,,,,widespread,food,,5
Eugenia pyriformis,Myrtaceae,tree,perita costeña,23,,0,,,,widespread,food,,5
Syagrus romanzoffiana,Arecaceae,tree,Queen palm,2,,0,,,,widespread,fodder | food | ornamental,,5
Araucaria angustifolia,Araucariaceae,tree,,,,0,,en_peligro,Endangered,pure_endemic,food | medicinal | ornamental | timber,yes,6
Euterpe edulis,Arecaceae,tree,,,,0,,en_peligro,Endangered,widespread,food,yes,5
Butia catarinensis,Arecaceae,shrub,,,,0,,,,pure_endemic,fibres | food,,4
Butia eriospatha,Arecaceae,tree,,,,0,,,,pure_endemic,food,,4
Eugenia brasiliensis,Myrtaceae,tree,,,,0,,,,near_endemic,essential_oils | food | medicinal | ornamental,,4
Psidium cattleyanum,Myrtaceae,tree,,,,0,,,,near_endemic,food,,4
Andira inermis,Fabaceae,tree,,,,0,,,,occasional,fodder | food | fuel | medicinal | ornamental | poison | timber,yes,3
Brosimum alicastrum,Moraceae,tree,,,,0,,,,occasional,fodder | food | timber,yes,3
Cassia grandis,Fabaceae,tree,,,,0,,,,widespread,fences | fodder | food | fuel | medicinal | ornamental | resins_gums | timber,yes,3
Dipteryx alata,Fabaceae,tree,,,,0,,,,occasional,food | timber,yes,3
Genipa americana,Rubiaceae,tree,,,,0,,,,occasional,fences | fibres | fodder | food | fuel | medicinal | ornamental | timber,yes,3
Hymenaea courbaril,Fabaceae,tree,,,,0,,,,widespread,fodder | food | medicinal | ornamental | resins_gums | timber,yes,3
Inga vera,Fabaceae,tree,,,,0,,,,widespread,food | fuel | medicinal | timber,yes,3
Pereskia aculeata,Cactaceae,tree,,,,0,,,,near_endemic,food,,3
Schizolobium parahyba,Fabaceae,tree,,,,0,,,,widespread,food | fuel | ornamental | timber,yes,3
Acrocomia aculeata,Arecaceae,tree,,,,0,,,,widespread,food | ornamental,,2
Anacardium occidentale,Anacardiaceae,tree,,,,0,,,,widespread,alcohol | essential_oils | fibres | fodder | food | fuel | lipids | medicinal | poison | resins_gums | timber,yes,2
Annona crassiflora,Annonaceae,tree,,,,0,,,,occasional,food,,2
Annona mucosa,Annonaceae,tree,,,,0,,,,widespread,food,,2
Bixa orellana,Bixaceae,tree,,,,0,,,,occasional,essential_oils | fibres | fodder | food | fuel | medicinal | ornamental | poison | resins_gums | timber,yes,2
Butia capitata,Arecaceae,tree,,,,0,,,,widespread,essential_oils | food | ornamental,,2
Byrsonima crassifolia,Malpighiaceae,tree,,,,0,,,,occasional,alcohol | fibres | food | fuel | lipids | medicinal | ornamental | poison | timber,yes,2
Campomanesia adamantium,Myrtaceae,shrub,,,,0,,,,widespread,food,,2
Campomanesia xanthocarpa,Myrtaceae,tree,,,,0,,,,widespread,food,,2
Cordia alliodora,Boraginaceae,tree,,,,0,,,,occasional,food | medicinal | ornamental | timber,yes,2
Couroupita guianensis,Lecythidaceae,tree,,,,0,,,,widespread,food | ornamental | timber,yes,2
Erythrina fusca,Fabaceae,tree,,,,0,,,,widespread,fences | fodder | food | fuel | medicinal | ornamental | poison,,2
Eugenia dysenterica,Myrtaceae,tree,,,,0,,,,occasional,food,,2
Eugenia involucrata,Myrtaceae,tree,,,,0,,,,widespread,food,,2
Eugenia klotzschiana,Myrtaceae,shrub,,,,0,,,,widespread,food,,2
Eugenia stipitata,Myrtaceae,tree,,,,0,,,,occasional,food | ornamental,,2
Guazuma ulmifolia,Malvaceae,tree,,,,0,,,Endangered,widespread,fibres | fodder | food | fuel | medicinal | timber,yes,2
Hevea brasiliensis,Euphorbiaceae,tree,,,,0,,,,occasional,fibres | fodder | food | fuel | lipids | poison | rubber_latex | timber,yes,2
Hymenaea stigonocarpa,Fabaceae,tree,,,,0,,,,occasional,food,,2
Inga edulis,Fabaceae,tree,,,,0,,,,widespread,fodder | food | fuel,,2
Mauritia flexuosa,Arecaceae,tree,,,,0,,,,occasional,fibres | food | ornamental,,2
Melanopsidium nigrum,Rubiaceae,tree,,,,0,,,,widespread,food | medicinal,,2
Myrciaria floribunda,Myrtaceae,tree,,,,0,,,,widespread,food,,2
Plinia peruviana,Myrtaceae,tree,,,,0,,,,widespread,food,,2
Psidium firmum,Myrtaceae,shrub,,,,0,,,,widespread,food,,2
Psidium laruotteanum,Myrtaceae,shrub,,,,0,,,,occasional,food,,2
Schinus molle,Anacardiaceae,tree,,,,0,,,,widespread,alcohol | essential_oils | fences | food | fuel | medicinal | ornamental | poison | resins_gums | rubber_latex | timber,yes,2
Schinus terebinthifolia,Anacardiaceae,tree,,,,0,,,,widespread,essential_oils | fences | fodder | food | fuel | medicinal | ornamental | poison | resins_gums | timber,yes,2
Senna occidentalis,Fabaceae,shrub,,,,0,,,,widespread,food | poison,,2
Spondias mombin,Anacardiaceae,tree,,,,0,,,,occasional,fences | fibres | fodder | food | fuel | medicinal | timber,yes,2
Syagrus oleracea,Arecaceae,tree,,,,0,,,,widespread,food,,2
Terminalia argentea,Combretaceae,tree,,,,0,,,,occasional,food | fuel | medicinal | timber,yes,2
Anacardium humile,Anacardiaceae,tree,,,,0,,,,widespread,food,,1
Byrsonima verbascifolia,Malpighiaceae,tree,,,,0,,,,widespread,food,,1
Caryocar brasiliense,Caryocaraceae,tree,,,,0,,,,widespread,food,,1
Hancornia speciosa,Apocynaceae,tree,,,,0,,,,widespread,food,,1
Ilex paraguariensis,Aquifoliaceae,tree,,,,0,,,,widespread,food | medicinal,,1
Manihot esculenta,Euphorbiaceae,shrub,,,,0,,,,occasional,alcohol | fodder | food,,1
Manihot glaziovii,Euphorbiaceae,tree,,,,0,,,,widespread,essential_oils | fences | fodder | food | medicinal | ornamental | rubber_latex,,1
Solanum paniculatum,Solanaceae,shrub,,,,0,,,,widespread,food | medicinal,,1
Solanum torvum,Solanaceae,shrub,,,,0,,,,widespread,food,,1
Spondias tuberosa,Anacardiaceae,tree,,,,0,,,,widespread,food,,1
Sterculia striata,Malvaceae,tree,,,,0,,,,occasional,food,,1
Vasconcellea quercifolia,Caricaceae,tree,,,,0,,,,widespread,food,,1
Ximenia americana,Olacaceae,tree,,,,0,,,,widespread,alcohol | essential_oils | fences | food | fuel | lipids | medicinal | ornamental | poison,,1
