binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Balfourodendron riedelianum,Rutaceae,Balfourodendron riedelianum (Engl.) Engl.,tree,confirmed,224,NA,84.74,widespread,Not endemic,159,18,en_peligro,,,timber,yes,yes,iNat,1,marfim,,7
Cordia trichotoma,Boraginaceae,Cordia trichotoma (Vell.) Arrab. ex Steud.,tree,confirmed,559,NA,43.57,widespread,Not endemic,223,192,en_peligro,Indeterminada (maybe LC),,timber,yes,yes,iNat,1,,,7
Ateleia glazioveana,Fabaceae,Ateleia glazioveana Baill.,tree,confirmed,78,NA,98.31,near_endemic,Endemic,62,1,en_peligro,,,timber,yes,,,,,,7
Copaifera langsdorffii,Fabaceae,Copaifera langsdorffii Desf.,tree,confirmed,944,NA,34.2,widespread,Not endemic,209,406,,Endangered,,fuel | medicinal | poison | resins_gums | timber,yes,yes,GBIF|iNat,39,Brazilian diesel tree,,6
Parapiptadenia rigida,Fabaceae,Parapiptadenia rigida (Benth.) Brenan,tree,confirmed,521,NA,66.83,widespread,Endemic,296,102,,,,timber,yes,yes,GBIF,34,Anchico,,6
Nectandra megapotamica,Lauraceae,Nectandra megapotamica (Spreng.) Mez,tree,confirmed,1548,NA,77.69,widespread,Not endemic,944,223,,,,timber,yes,yes,GBIF,28,canela,,6
Peltophorum dubium,Fabaceae,Peltophorum dubium (Spreng.) Taub.,tree,new to AF,1339,NA,56.05,widespread,Not in the AF,561,277,,,,timber,yes,yes,GBIF|iNat,26,caña fístola,,6
Myrcianthes pungens,Myrtaceae,Myrcianthes pungens (O.Berg) D.Legrand,tree,confirmed,176,NA,48.23,widespread,Not endemic,59,65,,,,timber,yes,yes,GBIF|iNat,20,guaviyú,,6
Ocotea puberula,Lauraceae,Ocotea puberula (Rich.) Nees,tree,confirmed,1468,NA,76.57,widespread,Not endemic,934,256,,,,timber,yes,yes,GBIF,18,Laurel Guaica,,6
Anadenanthera colubrina,Fabaceae,Anadenanthera colubrina (Vell.) Brenan,tree,confirmed,1804,NA,27.77,widespread,Not endemic,371,950,,,,timber,yes,yes,iNat,2,Red Angico,,6
Pterogyne nitens,Fabaceae,Pterogyne nitens Tul.,tree,confirmed,298,NA,39.56,widespread,Not endemic,82,129,,,,fuel | ornamental | timber,yes,yes,iNat,2,,,6
Handroanthus impetiginosus,Bignoniaceae,Handroanthus impetiginosus (Mart. ex DC.) Mattos,tree,confirmed,501,cultivated,16.34,widespread,Not endemic,72,286,,,,medicinal | ornamental | timber,yes,yes,iNat,1,pink ipê,,6
Psychotria leiocarpa,Rubiaceae,Psychotria leiocarpa Cham. & Schltdl.,shrub,confirmed,1095,NA,93.53,near_endemic,Not endemic,816,44,,,,,,yes,iNat,1,,,6
Araucaria angustifolia,Araucariaceae,Araucaria angustifolia (Bertol.) Kuntze,tree,confirmed,519,cultivated,100.0,pure_endemic,Endemic,386,34,en_peligro,Endangered,,food | medicinal | ornamental | timber,yes,,,,,,6
Trichilia catigua,Meliaceae,Trichilia catigua A.Juss.,tree,confirmed,691,NA,54.27,widespread,Not endemic,375,141,,,,medicinal,,yes,GBIF,61,Catiguá,,5
Luehea divaricata,Malvaceae,Luehea divaricata Mart. & Zucc.,tree,confirmed,592,NA,60.56,widespread,Not endemic,282,151,,,,timber,yes,yes,GBIF|iNat,31,Azota caballos,,5
Eugenia uniflora,Myrtaceae,Eugenia uniflora L.,tree,confirmed,872,cultivated,74.25,widespread,Not endemic,518,155,,,,food | medicinal,,yes,GBIF|iNat,28,cerezo de Cayena,,5
Protium heptaphyllum,Burseraceae,Protium heptaphyllum (Aubl.) Marchand,tree,confirmed,1942,NA,23.13,widespread,Not endemic,402,1160,,,,timber,yes,yes,GBIF,28,Caraño,,5
Casearia gossypiosperma,Salicaceae,Casearia gossypiosperma Briq.,tree,confirmed,214,NA,34.51,widespread,Not endemic,82,79,,,,timber,yes,yes,GBIF,27,Cambroé,,5
Cordia americana,Boraginaceae,Cordia americana (L.) Gottschling & J.S.Mill.,tree,confirmed,152,NA,33.93,widespread,Endemic,60,50,,,,timber,yes,yes,GBIF,27,guayaibí,,5
Psidium guineense,Myrtaceae,Psidium guineense Sw.,tree,confirmed,1483,NA,44.81,widespread,Not endemic,468,621,,,,food,,yes,GBIF,24,Allpa guayaba,,5
Eugenia pyriformis,Myrtaceae,Eugenia pyriformis Cambess.,tree,confirmed,698,NA,71.79,widespread,Not endemic,402,131,,,,food,,yes,GBIF,23,perita costeña,,5
Alchornea triplinervia,Euphorbiaceae,Alchornea triplinervia (Spreng.) Mull.Arg.,tree,confirmed,958,NA,54.99,widespread,Not endemic,451,221,,,,timber,yes,yes,GBIF,21,Gakamenewe,,5
Maytenus ilicifolia,,Maytenus ilicifolia,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,3,,,5
Syagrus romanzoffiana,Arecaceae,Syagrus romanzoffiana (Cham.) Glassman,tree,confirmed,142,cultivated,63.12,widespread,Not endemic,67,31,,,,fodder | food | ornamental,,yes,iNat,2,Queen palm,,5
Baccharis trimera,,Baccharis trimera,,in PY threat list but not in AF checklist,0,,,,,,,amenazada,,,,,yes,iNat,1,,,5
Ceiba speciosa,Malvaceae,Ceiba speciosa (A.St.-Hil.) Ravenna,tree,confirmed,208,cultivated,59.24,widespread,Not endemic,99,63,,,,essential_oils | fibres | medicinal | ornamental | timber,yes,yes,iNat,1,Silk floss tree,,5
Parodia nigrispina,,Parodia nigrispina,,in PY threat list but not in AF checklist,0,,,,,,,en_peligro,,,,,yes,iNat,1,,,5
Sapium haematospermum,Euphorbiaceae,Sapium haematospermum Mull.Arg.,tree,confirmed,216,NA,40.83,widespread,Not endemic,39,93,,,,timber,yes,yes,iNat,1,,,5
Zanthoxylum rhoifolium,Rutaceae,Zanthoxylum rhoifolium Lam.,tree,confirmed,1697,NA,49.8,widespread,Not endemic,649,584,,,,timber,yes,yes,iNat,1,Tambataru,,5
Amburana cearensis,Fabaceae,Amburana cearensis (Allemao) A.C.Sm.,tree,confirmed,207,NA,16.67,widespread,Not endemic,22,129,en_peligro,,,timber,yes,,,,,,5
Apuleia leiocarpa,Fabaceae,Apuleia leiocarpa (Vogel) J.F.Macbr.,tree,confirmed,580,NA,52.68,widespread,Not endemic,240,210,amenazada,,,timber,yes,,,,,,5
Arapatiella psilophylla,Fabaceae,Arapatiella psilophylla (Harms) R.S.Cowan,tree,confirmed,87,NA,100.0,pure_endemic,Endemic,75,0,,,,timber,yes,,,,,,5
Cedrela angustifolia,Meliaceae,Cedrela angustifolia Sesse & Moc. ex DC.,tree,new to AF,16,NA,33.33,widespread,NA,3,4,en_peligro,Indeterminada,,timber,yes,,,,,,5
Cedrela fissilis,Meliaceae,Cedrela fissilis Vell.,tree,confirmed,449,NA,42.49,widespread,Not endemic,176,156,en_peligro,,,timber,yes,,,,,,5
Centrolobium robustum,Fabaceae,Centrolobium robustum (Vell.) Mart. ex Benth.,tree,confirmed,44,NA,94.29,near_endemic,Endemic,34,3,,,,timber,yes,,,,,,5
Dalbergia nigra,Fabaceae,Dalbergia nigra (Vell.) Allemao ex Benth.,tree,confirmed,230,NA,91.44,near_endemic,Endemic,180,13,,,,timber,yes,,,,,,5
Euterpe edulis,Arecaceae,Euterpe edulis Mart.,tree,confirmed,142,NA,86.26,widespread,Not endemic,115,14,en_peligro,Endangered,,food,yes,,,,,,5
Melanoxylon brauna,Fabaceae,Melanoxylon brauna Schott,tree,confirmed,121,NA,92.18,near_endemic,Not endemic,85,4,,,,timber,yes,,,,,,5
Mezilaurus navalium,Lauraceae,Mezilaurus navalium (Allemao) Taub. ex Mez,tree,confirmed,19,NA,100.0,pure_endemic,Endemic,12,0,,,,timber,yes,,,,,,5
Mimosa scabrella,Fabaceae,Mimosa scabrella Benth.,tree,confirmed,380,NA,96.02,near_endemic,Endemic,312,6,,,,fences | fibres | fuel | medicinal | ornamental | timber,yes,,,,,,5
Myrocarpus fastigiatus,Fabaceae,Myrocarpus fastigiatus Allemao,tree,confirmed,53,NA,93.67,near_endemic,Not endemic,36,4,,,,timber,yes,,,,,,5
