latitude,longitude,ground_elevation_m,canopy_height_m,sensitivity,beam,granule,granule_time_start
-25.644949704929637,-57.04316456794321,5321.1143,18.320312,0.95874345,BEAM0011,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.64490746995038,-57.033617512565314,4570.977,0.0,14.342898,BEAM0010,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.644827851416647,-57.0308505122722,2635.9265,0.29858398,0.9224316,BEAM0010,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.6447768813585,-57.03537731567148,5319.9634,10.39502,0.9529361,BEAM0010,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.644709940271902,-57.031269110596334,7557.2188,0.0,4.270936,BEAM0001,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.64462889172129,-57.02159577166685,2753.2085,0.0,4.1553106,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.644558174539775,-57.04353673684289,5325.679,5.4589844,0.95303565,BEAM0011,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.644553058068972,-57.02251696279139,2565.9702,0.0,2.6356456,BEAM0011,GEDI02_A_2024193193707_O31606_01_T10769_02_004_03_V002.h5,2024-07-11T19:37:07.000Z
-25.64453782998275,-57.02243082553076,218.24924,0.0,3.1866608,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.644452745897503,-57.03186330597738,4652.041,0.59716797,0.912467,BEAM1000,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.64438197071379,-57.03575167302774,5331.8,7.777832,0.96773285,BEAM0010,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.644345916678706,-57.02235250918777,5371.102,0.0,34.081184,BEAM0000,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.644335416230653,-57.03988337025339,4796.6,0.0,2.3666337,BEAM1011,GEDI02_A_2024244132446_O32393_04_T04229_02_004_04_V002.h5,2024-08-31T13:24:46.000Z
-25.644321168333203,-57.03164178127556,7557.1406,0.0,4.4500246,BEAM0001,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.644240914462085,-57.02196709912911,2753.4243,0.0,2.8634174,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.644148714916664,-57.022803061086314,217.69455,0.0,2.2976618,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.644129589716368,-57.0343593001234,4570.861,0.0,11.636442,BEAM0010,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.644123433683976,-57.03052184239896,5368.5527,0.0,2.7226186,BEAM0001,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.64395765397993,-57.042401823234144,4732.9297,0.0,2.1495795,BEAM0011,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.643860652417032,-57.024217255752355,7591.894,0.0,4.1713033,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.64385291092316,-57.02233882718067,2753.051,0.0,22.941214,BEAM0000,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.64379670872458,-57.04427106741044,5294.587,19.03125,0.9342157,BEAM0011,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
-25.64375984527933,-57.02317517234889,217.59517,0.0,3.6731913,BEAM0000,GEDI02_A_2025156231012_O36711_04_T07075_02_004_02_V002.h5,2025-06-05T23:10:12.000Z
-25.64374062379976,-57.03473025767238,4570.572,0.0,2.8435595,BEAM0010,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.64372538879985,-57.030520376926034,2762.3464,0.0,2.4945302,BEAM0001,GEDI02_A_2021354191807_O17120_04_T07075_02_003_02_V002.h5,2021-12-20T19:18:07.000Z
-25.643595999940977,-57.02308212224798,5312.2695,1.3466797,0.9645613,BEAM0000,GEDI02_A_2021088044333_O12988_04_T07075_02_003_02_V002.h5,2021-03-29T04:43:33.000Z
