year,class_code,class_name,aoi_pixels,polygon_pixels,aoi_pct,polygon_pct
1985,3,Forest Formation,2185513,308,17.6358,80.6283
1985,6,Flooded Forest,208621,0,1.6834,0.0
1985,11,Wetland,1746077,0,14.0898,0.0
1985,12,Grassland,6250141,74,50.4349,19.3717
1985,15,Pasture,1206686,0,9.7372,0.0
1985,18,Agriculture,166093,0,1.3403,0.0
1985,22,Non-vegetated Area,497929,0,4.018,0.0
1985,26,Water,131441,0,1.0606,0.0
1986,3,Forest Formation,2230671,308,18.0002,80.6283
1986,6,Flooded Forest,150929,0,1.2179,0.0
1986,11,Wetland,1745174,0,14.0825,0.0
1986,12,Grassland,6284578,74,50.7127,19.3717
1986,15,Pasture,1192339,0,9.6215,0.0
1986,18,Agriculture,157141,0,1.268,0.0
1986,22,Non-vegetated Area,499565,0,4.0312,0.0
1986,26,Water,132104,0,1.066,0.0
1987,3,Forest Formation,2205285,306,17.7953,80.1047
1987,6,Flooded Forest,128452,0,1.0365,0.0
1987,9,Forest Plantation,21,0,0.0002,0.0
1987,11,Wetland,1713952,0,13.8306,0.0
1987,12,Grassland,6284214,60,50.7098,15.7068
1987,15,Pasture,1232523,16,9.9457,4.1885
1987,18,Agriculture,197908,0,1.597,0.0
1987,22,Non-vegetated Area,498065,0,4.0191,0.0
1987,26,Water,132081,0,1.0658,0.0
1988,3,Forest Formation,2201584,302,17.7655,79.0576
1988,6,Flooded Forest,58097,0,0.4688,0.0
1988,9,Forest Plantation,21,0,0.0002,0.0
1988,11,Wetland,1880900,0,15.1777,0.0
1988,12,Grassland,6249293,65,50.428,17.0157
1988,15,Pasture,1180529,6,9.5262,1.5707
1988,18,Agriculture,204882,9,1.6533,2.356
1988,22,Non-vegetated Area,483456,0,3.9012,0.0
1988,26,Water,133739,0,1.0792,0.0
1989,3,Forest Formation,2224196,307,17.9479,80.3665
1989,6,Flooded Forest,72631,0,0.5861,0.0
1989,9,Forest Plantation,28,0,0.0002,0.0
1989,11,Wetland,1889738,0,15.249,0.0
1989,12,Grassland,6157580,71,49.688,18.5864
1989,15,Pasture,1225556,3,9.8895,0.7853
1989,18,Agriculture,207120,1,1.6713,0.2618
1989,22,Non-vegetated Area,482639,0,3.8946,0.0
1989,26,Water,133013,0,1.0733,0.0
1990,3,Forest Formation,2211295,306,17.8438,80.1047
1990,6,Flooded Forest,127837,0,1.0316,0.0
1990,9,Forest Plantation,17,0,0.0001,0.0
1990,11,Wetland,1784597,0,14.4006,0.0
1990,12,Grassland,6202499,73,50.0504,19.1099
1990,15,Pasture,1210525,3,9.7682,0.7853
1990,18,Agriculture,235085,0,1.897,0.0
1990,22,Non-vegetated Area,487865,0,3.9368,0.0
1990,26,Water,132781,0,1.0715,0.0
1991,3,Forest Formation,2235005,306,18.0351,80.1047
1991,6,Flooded Forest,136805,0,1.1039,0.0
1991,9,Forest Plantation,10,0,0.0001,0.0
1991,11,Wetland,1735746,0,14.0064,0.0
1991,12,Grassland,6303661,65,50.8667,17.0157
1991,15,Pasture,1138256,3,9.185,0.7853
1991,18,Agriculture,218129,8,1.7602,2.0942
1991,22,Non-vegetated Area,490546,0,3.9584,0.0
1991,26,Water,134343,0,1.0841,0.0
1992,3,Forest Formation,2260108,306,18.2377,80.1047
1992,6,Flooded Forest,125528,0,1.0129,0.0
1992,9,Forest Plantation,27,0,0.0002,0.0
1992,11,Wetland,1683026,0,13.581,0.0
1992,12,Grassland,6333464,68,51.1072,17.801
1992,15,Pasture,1168098,8,9.4258,2.0942
1992,18,Agriculture,199278,0,1.6081,0.0
1992,22,Non-vegetated Area,488467,0,3.9416,0.0
1992,26,Water,134505,0,1.0854,0.0
1993,3,Forest Formation,2243243,296,18.1016,77.4869
1993,6,Flooded Forest,78434,0,0.6329,0.0
1993,11,Wetland,1782675,20,14.3851,5.2356
1993,12,Grassland,6337676,64,51.1412,16.7539
1993,15,Pasture,1131492,2,9.1305,0.5236
1993,18,Agriculture,200479,0,1.6177,0.0
1993,22,Non-vegetated Area,483664,0,3.9029,0.0
1993,26,Water,134838,0,1.0881,0.0
1994,3,Forest Formation,2224174,306,17.9477,80.1047
1994,6,Flooded Forest,117041,0,0.9445,0.0
1994,9,Forest Plantation,52,0,0.0004,0.0
1994,11,Wetland,1807577,1,14.5861,0.2618
1994,12,Grassland,6361156,73,51.3307,19.1099
1994,15,Pasture,1055227,2,8.515,0.5236
1994,18,Agriculture,210693,0,1.7002,0.0
1994,22,Non-vegetated Area,482073,0,3.89,0.0
1994,26,Water,134508,0,1.0854,0.0
1995,3,Forest Formation,2211495,306,17.8454,80.1047
1995,6,Flooded Forest,100701,0,0.8126,0.0
1995,9,Forest Plantation,2678,0,0.0216,0.0
1995,11,Wetland,1878780,1,15.1606,0.2618
1995,12,Grassland,6366604,73,51.3746,19.1099
1995,15,Pasture,1019305,2,8.2252,0.5236
1995,18,Agriculture,209633,0,1.6916,0.0
1995,22,Non-vegetated Area,470628,0,3.7977,0.0
1995,26,Water,132677,0,1.0706,0.0
1996,3,Forest Formation,2231253,298,18.0049,78.0105
1996,6,Flooded Forest,84675,0,0.6833,0.0
1996,9,Forest Plantation,2035,0,0.0164,0.0
1996,11,Wetland,1897705,23,15.3133,6.0209
1996,12,Grassland,6230750,59,50.2784,15.445
1996,15,Pasture,1126348,2,9.0889,0.5236
1996,18,Agriculture,224509,0,1.8117,0.0
1996,22,Non-vegetated Area,463654,0,3.7414,0.0
1996,26,Water,131572,0,1.0617,0.0
1997,3,Forest Formation,2254035,306,18.1887,80.1047
1997,6,Flooded Forest,102086,0,0.8238,0.0
1997,9,Forest Plantation,2958,0,0.0239,0.0
1997,11,Wetland,1861545,0,15.0215,0.0
1997,12,Grassland,6220082,65,50.1923,17.0157
1997,15,Pasture,1104539,2,8.913,0.5236
1997,18,Agriculture,258115,9,2.0828,2.356
1997,22,Non-vegetated Area,457603,0,3.6926,0.0
1997,26,Water,131538,0,1.0614,0.0
1998,3,Forest Formation,2245260,306,18.1179,80.1047
1998,6,Flooded Forest,72710,0,0.5867,0.0
1998,9,Forest Plantation,2800,0,0.0226,0.0
1998,11,Wetland,1933461,0,15.6019,0.0
1998,12,Grassland,6297934,74,50.8205,19.3717
1998,15,Pasture,1030668,2,8.3169,0.5236
1998,18,Agriculture,222405,0,1.7947,0.0
1998,22,Non-vegetated Area,455452,0,3.6752,0.0
1998,26,Water,131811,0,1.0636,0.0
1999,3,Forest Formation,2240462,305,18.0792,79.8429
1999,6,Flooded Forest,133483,0,1.0771,0.0
1999,9,Forest Plantation,2380,0,0.0192,0.0
1999,11,Wetland,1861461,16,15.0209,4.1885
1999,12,Grassland,6260113,50,50.5153,13.089
1999,15,Pasture,1097829,11,8.8588,2.8796
1999,18,Agriculture,209252,0,1.6885,0.0
1999,22,Non-vegetated Area,454355,0,3.6664,0.0
1999,26,Water,133166,0,1.0746,0.0
2000,3,Forest Formation,2205831,306,17.7997,80.1047
2000,6,Flooded Forest,135958,0,1.0971,0.0
2000,9,Forest Plantation,4306,0,0.0347,0.0
2000,11,Wetland,1694306,0,13.672,0.0
2000,12,Grassland,6310355,65,50.9208,17.0157
2000,15,Pasture,1203903,11,9.7148,2.8796
2000,18,Agriculture,262910,0,2.1215,0.0
2000,22,Non-vegetated Area,442040,0,3.567,0.0
2000,26,Water,132892,0,1.0724,0.0
2001,3,Forest Formation,2210673,306,17.8388,80.1047
2001,6,Flooded Forest,135031,0,1.0896,0.0
2001,9,Forest Plantation,5410,0,0.0437,0.0
2001,11,Wetland,1712108,0,13.8157,0.0
2001,12,Grassland,6308024,66,50.9019,17.2775
2001,15,Pasture,1203716,10,9.7133,2.6178
2001,18,Agriculture,247870,0,2.0002,0.0
2001,22,Non-vegetated Area,436492,0,3.5222,0.0
2001,26,Water,133177,0,1.0747,0.0
2002,3,Forest Formation,2208688,306,17.8228,80.1047
2002,6,Flooded Forest,134300,0,1.0837,0.0
2002,9,Forest Plantation,4669,0,0.0377,0.0
2002,11,Wetland,1644972,0,13.2739,0.0
2002,12,Grassland,6313564,62,50.9466,16.2304
2002,15,Pasture,1250049,14,10.0871,3.6649
2002,18,Agriculture,265338,0,2.1411,0.0
2002,22,Non-vegetated Area,438088,0,3.5351,0.0
2002,26,Water,132833,0,1.0719,0.0
2003,3,Forest Formation,2207195,298,17.8107,78.0105
2003,6,Flooded Forest,109774,0,0.8858,0.0
2003,9,Forest Plantation,4640,0,0.0374,0.0
2003,11,Wetland,1626474,22,13.1247,5.7592
2003,12,Grassland,6256879,48,50.4892,12.5654
2003,15,Pasture,1247338,14,10.0653,3.6649
2003,18,Agriculture,368032,0,2.9698,0.0
2003,22,Non-vegetated Area,439068,0,3.543,0.0
2003,26,Water,133101,0,1.074,0.0
2004,3,Forest Formation,2175298,301,17.5533,78.7958
2004,6,Flooded Forest,125773,0,1.0149,0.0
2004,9,Forest Plantation,5375,0,0.0434,0.0
2004,11,Wetland,1668774,20,13.466,5.2356
2004,12,Grassland,6237858,47,50.3357,12.3037
2004,15,Pasture,1274295,14,10.2828,3.6649
2004,18,Agriculture,326755,0,2.6367,0.0
2004,22,Non-vegetated Area,444349,0,3.5856,0.0
2004,26,Water,134024,0,1.0815,0.0
2005,3,Forest Formation,2176262,302,17.5611,79.0576
2005,6,Flooded Forest,113866,0,0.9188,0.0
2005,9,Forest Plantation,6791,0,0.0548,0.0
2005,11,Wetland,1662135,16,13.4124,4.1885
2005,12,Grassland,6373297,55,51.4287,14.3979
2005,15,Pasture,1180816,9,9.5285,2.356
2005,18,Agriculture,298735,0,2.4106,0.0
2005,22,Non-vegetated Area,445897,0,3.5981,0.0
2005,26,Water,134702,0,1.087,0.0
