granule,year,doy,date,centroid_ET,centroid_PET,centroid_LE,centroid_PLE,corner_NE_ET,corner_NE_PET,corner_NE_LE,corner_NE_PLE,corner_NW_ET,corner_NW_PET,corner_NW_LE,corner_NW_PLE,corner_SE_ET,corner_SE_PET,corner_SE_LE,corner_SE_PLE,corner_SW_ET,corner_SW_PET,corner_SW_LE,corner_SW_PLE,wesley_pin_ET,wesley_pin_PET,wesley_pin_LE,wesley_pin_PLE
MOD16A2.A2021001.h12v11.061.2021067201340.hdf,2021,1,2021-01-01,48.0,58.2,14610000,17710000,37.7,52.6,11470000,15980000,36.7,56.4,11170000,17140000,35.6,54.9,10840000,16700000,32.0,54.7,9740000,16630000,36.3,51.8,11040000,15740000
MOD16A2.A2021009.h12v11.061.2021068064110.hdf,2021,9,2021-01-09,38.4,58.0,11660000,17610000,35.9,54.4,10910000,16520000,38.1,57.7,11570000,17530000,24.4,55.7,7420000,16900000,20.4,55.4,6210000,16830000,39.6,54.0,12030000,16400000
MOD16A2.A2021017.h12v11.061.2021068142154.hdf,2021,17,2021-01-17,47.3,62.6,14420000,19070000,41.9,55.7,12780000,16960000,47.0,62.2,14310000,18950000,44.2,60.5,13480000,18430000,44.4,60.7,13520000,18500000,40.8,54.7,12420000,16670000
MOD16A2.A2021025.h12v11.061.2021068175415.hdf,2021,25,2021-01-25,45.1,54.1,13740000,16500000,36.6,44.9,11140000,13680000,47.0,55.7,14310000,16970000,32.7,43.3,9950000,13190000,35.1,45.9,10690000,13980000,36.1,44.5,11000000,13550000
MOD16A2.A2021033.h12v11.061.2021068212129.hdf,2021,33,2021-02-02,17.0,50.8,5190000,15510000,41.4,55.6,12620000,16980000,26.1,53.9,7950000,16440000,24.8,52.7,7570000,16080000,37.0,57.1,11290000,17420000,30.6,52.5,9350000,16020000
MOD16A2.A2021041.h12v11.061.2021069053054.hdf,2021,41,2021-02-10,47.7,62.2,14560000,18960000,42.1,56.6,12840000,17250000,46.1,61.2,14050000,18660000,42.1,59.6,12840000,18170000,39.6,59.3,12060000,18060000,42.4,56.6,12930000,17230000
MOD16A2.A2021049.h12v11.061.2021069073333.hdf,2021,49,2021-02-18,33.8,62.4,10270000,18960000,41.2,61.2,12510000,18600000,30.2,61.9,9190000,18820000,26.1,61.6,7950000,18730000,30.9,61.5,9390000,18680000,41.8,60.9,12700000,18490000
MOD16A2.A2021057.h12v11.061.2021075141100.hdf,2021,57,2021-02-26,45.6,59.6,13850000,18120000,40.0,55.4,12150000,16850000,39.4,58.5,11990000,17780000,31.9,57.0,9690000,17330000,32.9,57.0,9990000,17340000,39.9,55.0,12120000,16730000
MOD16A2.A2021065.h12v11.061.2021082092827.hdf,2021,65,2021-03-06,42.8,58.5,13030000,17800000,39.2,58.0,11940000,17640000,38.5,58.2,11710000,17710000,26.7,58.5,8110000,17800000,26.2,58.4,7980000,17760000,39.3,57.7,11940000,17560000
MOD16A2.A2021073.h12v11.061.2021089054840.hdf,2021,73,2021-03-14,28.7,47.5,8740000,14450000,30.9,44.3,9390000,13470000,32.4,47.5,9870000,14440000,17.8,46.8,5400000,14220000,19.3,46.6,5880000,14180000,31.0,44.3,9430000,13480000
MOD16A2.A2021081.h12v11.061.2021097013724.hdf,2021,81,2021-03-22,37.7,46.8,11490000,14250000,31.9,41.3,9720000,12570000,39.1,47.1,11930000,14360000,27.0,42.7,8230000,13000000,23.7,41.8,7210000,12750000,32.1,41.4,9760000,12590000
MOD16A2.A2021089.h12v11.061.2021105031719.hdf,2021,89,2021-03-30,36.3,43.2,11100000,13200000,30.8,40.6,9400000,12380000,38.7,43.4,11820000,13240000,26.6,42.0,8110000,12840000,25.3,41.9,7720000,12790000,30.8,40.4,9410000,12320000
MOD16A2.A2021097.h12v11.061.2021113030643.hdf,2021,97,2021-04-07,28.8,44.5,8770000,13550000,31.0,43.4,9440000,13200000,35.8,44.6,10910000,13580000,20.8,44.0,6330000,13390000,20.5,44.0,6250000,13400000,30.9,43.2,9400000,13150000
MOD16A2.A2021105.h12v11.061.2021121201026.hdf,2021,105,2021-04-15,35.4,41.9,10790000,12750000,32.1,40.0,9790000,12180000,36.7,41.7,11190000,12690000,25.8,40.8,7850000,12440000,24.3,41.1,7400000,12510000,30.4,39.9,9260000,12150000
MOD16A2.A2021113.h12v11.061.2021130214648.hdf,2021,113,2021-04-23,30.5,34.4,9330000,10520000,26.1,30.6,7990000,9350000,31.2,34.3,9570000,10490000,23.1,32.5,7090000,9950000,20.7,32.4,6330000,9930000,25.5,30.5,7790000,9320000
MOD16A2.A2021121.h12v11.061.2021137022008.hdf,2021,121,2021-05-01,17.1,31.7,5230000,9690000,25.0,30.4,7650000,9290000,19.9,31.4,6100000,9600000,13.6,31.0,4150000,9480000,14.3,30.9,4390000,9460000,22.6,29.9,6920000,9130000
MOD16A2.A2021129.h12v11.061.2021146010006.hdf,2021,129,2021-05-09,31.3,32.2,9580000,9860000,23.5,27.3,7200000,8370000,26.3,30.7,8060000,9410000,20.2,29.3,6200000,8980000,16.6,28.9,5070000,8860000,23.0,27.2,7040000,8330000
MOD16A2.A2021137.h12v11.061.2021153030519.hdf,2021,137,2021-05-17,15.9,28.9,4880000,8840000,24.5,26.3,7500000,8050000,22.5,29.1,6890000,8890000,15.3,27.9,4680000,8550000,11.3,28.9,3450000,8830000,24.8,26.6,7590000,8150000
MOD16A2.A2021145.h12v11.061.2021161201317.hdf,2021,145,2021-05-25,14.9,28.2,4570000,8630000,19.6,25.3,6000000,7750000,15.9,27.6,4870000,8450000,10.5,29.0,3230000,8880000,10.5,28.9,3220000,8840000,20.7,25.5,6350000,7810000
MOD16A2.A2021153.h12v11.061.2021169023312.hdf,2021,153,2021-06-02,22.5,27.5,6860000,8400000,21.1,24.3,6430000,7420000,17.8,25.9,5430000,7910000,15.9,25.1,4870000,7660000,15.2,24.8,4640000,7560000,22.9,25.4,7010000,7750000
MOD16A2.A2021161.h12v11.061.2021177043259.hdf,2021,161,2021-06-10,18.3,24.7,5610000,7590000,21.0,23.4,6450000,7180000,18.2,24.6,5580000,7540000,14.7,23.3,4520000,7140000,11.3,22.7,3470000,6960000,19.5,22.7,5980000,6960000
MOD16A2.A2021169.h12v11.061.2021188022900.hdf,2021,169,2021-06-18,12.9,22.1,3960000,6790000,16.6,20.9,5120000,6430000,12.9,22.0,3960000,6750000,11.0,21.0,3390000,6450000,11.0,21.0,3370000,6460000,15.8,20.5,4860000,6310000
MOD16A2.A2021177.h12v11.061.2021193031545.hdf,2021,177,2021-06-26,10.4,19.7,3200000,6080000,10.5,17.4,3240000,5370000,12.2,20.0,3750000,6160000,9.0,18.8,2780000,5810000,8.5,18.7,2610000,5770000,16.7,19.2,5140000,5930000
MOD16A2.A2021185.h12v11.061.2021201033652.hdf,2021,185,2021-07-04,14.4,25.9,4410000,7920000,20.3,23.9,6220000,7320000,15.5,25.6,4750000,7850000,13.3,24.9,4070000,7620000,9.9,25.3,3050000,7740000,20.2,23.7,6170000,7260000
MOD16A2.A2021193.h12v11.061.2021209064526.hdf,2021,193,2021-07-12,14.6,22.4,4490000,6880000,16.6,20.1,5110000,6160000,15.3,22.3,4700000,6850000,11.6,22.1,3550000,6790000,9.1,22.6,2780000,6950000,16.3,19.7,5000000,6040000
MOD16A2.A2021201.h12v11.061.2021217134858.hdf,2021,201,2021-07-20,16.9,27.2,5190000,8350000,22.7,25.8,6980000,7910000,14.2,27.3,4350000,8370000,10.6,27.5,3260000,8430000,9.9,27.3,3030000,8370000,16.4,24.9,5030000,7640000
MOD16A2.A2021209.h12v11.061.2021225030443.hdf,2021,209,2021-07-28,12.8,24.4,3950000,7520000,12.5,21.9,3860000,6750000,11.5,24.1,3550000,7440000,7.3,23.5,2250000,7240000,8.3,23.7,2570000,7290000,15.0,21.7,4620000,6690000
MOD16A2.A2021217.h12v11.061.2021233032636.hdf,2021,217,2021-08-05,13.4,25.3,4120000,7750000,17.7,22.5,5430000,6910000,12.8,25.1,3930000,7700000,11.1,24.7,3410000,7580000,9.8,24.8,3020000,7590000,17.0,22.3,5210000,6850000
