year,month,centroid_ET_mm,centroid_PET_mm,corner_NE_ET_mm,corner_NE_PET_mm,corner_NW_ET_mm,corner_NW_PET_mm,corner_SE_ET_mm,corner_SE_PET_mm,corner_SW_ET_mm,corner_SW_PET_mm,wesley_pin_ET_mm,wesley_pin_PET_mm
2021,1,178.8,232.9,152.1,207.6,168.8,232.0,136.9,214.4,131.9,216.7,152.8,205.0
2021,2,144.1,235.0,164.7,228.8,141.8,235.5,124.9,230.9,140.4,234.9,154.7,225.0
2021,3,145.5,196.0,132.8,184.2,148.7,196.2,98.1,190.0,94.5,188.7,133.2,183.8
2021,4,94.7,120.8,89.2,114.0,103.7,120.6,69.7,117.3,65.5,117.5,86.8,113.6
2021,5,79.2,121.0,92.6,109.3,84.6,118.8,59.6,117.2,52.7,117.6,91.1,109.2
2021,6,64.1,94.0,69.2,86.0,61.1,92.5,50.6,88.2,46.0,87.2,74.9,87.8
2021,7,58.7,99.9,72.1,91.7,56.5,99.3,42.8,98.0,37.2,98.9,67.9,90.0
2021,8,71.9,137.1,79.8,127.9,60.5,136.8,53.1,133.8,43.2,134.1,87.1,126.4
2021,9,101.8,158.4,111.2,146.8,89.5,155.0,86.1,148.6,70.5,148.0,108.9,144.3
2021,10,122.5,169.5,119.5,160.2,115.0,167.0,94.8,159.2,84.6,157.1,113.7,156.3
2021,11,160.5,244.5,159.6,229.0,186.7,247.0,115.1,227.9,102.2,226.0,158.7,227.0
2021,12,76.6,251.1,126.5,249.0,70.1,251.9,48.5,251.0,42.2,253.5,134.0,247.1
2022,1,47.2,272.2,105.3,267.7,36.0,274.9,23.3,281.0,23.6,281.1,103.2,266.1
2022,2,46.9,242.8,97.6,233.5,42.2,244.7,22.5,254.8,13.4,262.8,96.0,230.4
2022,3,105.8,186.2,124.0,175.0,91.9,185.8,71.4,187.4,59.8,191.4,124.5,173.1
2022,4,148.0,123.6,85.1,109.4,101.7,116.9,65.2,115.7,54.9,116.5,84.1,107.8
2022,5,107.4,113.3,79.7,93.2,99.9,109.9,69.8,99.1,60.4,98.0,79.5,93.7
2022,6,66.1,90.0,66.3,82.3,65.0,89.2,54.8,81.0,50.7,79.4,64.6,81.3
2022,7,73.5,105.4,79.0,98.1,69.1,104.8,65.3,100.6,57.3,99.3,79.5,97.6
2022,8,92.4,130.3,81.1,115.5,82.5,126.7,65.1,118.1,60.7,115.6,84.3,115.2
2022,9,90.4,154.2,107.7,147.5,91.3,154.9,68.0,145.1,66.8,146.3,110.2,147.4
2022,10,78.4,140.4,83.0,135.9,75.1,138.6,66.7,133.5,64.0,132.8,84.8,135.7
2022,11,164.4,238.5,157.3,227.4,130.9,233.0,133.3,230.7,107.2,228.9,155.4,226.0
2022,12,122.8,233.6,136.4,229.7,124.4,230.6,107.5,231.2,78.6,229.3,149.2,226.0
2023,1,85.7,258.0,146.7,255.5,85.8,260.6,93.3,256.0,68.7,260.6,140.8,253.3
2023,2,108.0,218.7,148.8,213.5,101.3,221.6,89.5,215.5,80.7,215.9,142.4,209.4
2023,3,163.1,207.7,138.1,182.3,130.9,198.8,116.4,191.6,89.3,185.1,138.6,181.2
2023,4,96.5,125.1,82.7,109.2,98.4,125.2,79.5,114.7,61.7,107.5,82.9,108.3
2023,5,91.1,119.6,85.0,105.5,88.6,117.8,76.9,108.7,65.7,104.2,82.1,103.5
2023,6,70.5,99.8,76.5,94.6,67.9,98.2,66.1,94.8,58.3,90.6,72.7,91.9
2023,7,69.0,104.2,72.8,97.0,68.5,103.7,70.0,102.0,59.3,96.2,75.6,97.8
2023,8,81.9,138.6,94.8,131.4,79.0,138.3,78.2,133.8,65.5,130.2,99.2,132.3
2023,9,113.8,178.4,124.2,168.0,105.2,176.1,105.1,172.1,87.6,169.4,126.1,167.8
2023,10,95.8,146.7,103.0,135.8,92.4,144.3,84.6,137.3,74.4,134.3,104.5,135.8
2023,11,163.2,206.2,142.2,183.7,151.7,200.2,135.2,187.3,124.0,182.2,142.0,182.5
2023,12,207.7,247.8,154.4,199.4,193.2,237.8,165.5,217.6,145.8,206.8,152.0,197.5
2024,1,241.8,297.3,194.6,263.9,194.9,278.8,191.2,274.4,176.4,270.1,190.1,260.9
2024,2,137.9,223.6,161.1,213.9,130.3,219.9,114.5,210.1,114.4,208.6,160.3,211.5
2024,3,163.3,218.0,151.7,206.4,158.4,218.6,110.9,208.8,94.7,209.2,150.6,204.4
2024,4,127.0,156.3,112.8,141.5,114.8,152.3,95.6,147.4,78.0,141.7,110.0,138.9
2024,5,62.3,83.6,63.7,76.7,58.0,81.7,57.0,79.8,43.9,74.1,64.6,76.6
2024,6,69.9,104.0,79.3,95.8,69.7,103.1,66.3,98.9,52.4,100.0,74.6,93.8
2024,7,64.9,98.9,74.2,91.3,55.9,96.9,55.6,93.9,48.5,93.2,63.3,88.6
2024,8,66.8,117.8,79.6,107.6,59.1,117.2,59.1,113.1,45.6,117.1,83.3,107.8
2024,9,85.2,157.8,110.6,147.5,87.5,156.9,83.0,154.4,66.9,156.7,113.0,146.4
2024,10,141.7,204.6,146.2,194.0,126.9,201.7,121.8,197.1,96.1,193.6,146.9,193.0
2024,11,108.0,184.9,113.8,177.9,81.3,181.2,72.2,178.1,58.1,177.7,113.8,176.2
2024,12,203.7,254.5,164.7,227.4,173.0,243.5,147.1,232.0,107.3,222.1,167.3,226.6
