date,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,WS2M,WS10M,WS50M,PRECTOTCORR
19900101,7.3476,,29.66,36.92,23.15,64.31,0.16,0.69,1.81,0.79
19900102,5.8171,,28.45,34.22,23.83,67.69,0.24,0.94,2.22,0.01
19900103,8.5831,,28.19,35.73,21.29,58.51,0.29,1.23,2.81,3.44
19900104,7.3661,,28.87,36.96,20.84,51.09,0.3,1.25,3.03,0.04
19900105,8.0686,,29.62,37.88,21.53,52.67,0.36,1.24,2.82,0.0
19900106,7.4573,,30.25,37.96,23.24,55.68,0.33,1.23,2.83,0.02
19900107,7.8554,,31.21,39.35,23.66,55.33,0.29,1.11,2.42,0.61
19900108,7.2034,,31.09,38.36,23.79,55.93,0.35,1.3,2.76,0.4
19900109,6.0372,,27.64,34.36,23.3,74.95,0.26,0.93,1.88,15.16
19900110,4.7954,,27.36,32.41,23.83,78.36,0.26,1.12,2.54,21.92
19900111,7.0555,,28.0,33.75,22.61,67.12,0.24,0.97,2.23,0.14
19900112,7.2166,,28.83,35.39,23.16,66.73,0.46,1.63,3.27,0.19
19900113,6.0185,,26.72,30.19,23.88,79.74,0.47,1.82,3.75,36.3
19900114,5.5836,,26.47,30.82,22.76,79.26,0.26,1.1,2.54,6.56
19900115,4.4971,,26.57,30.5,22.83,84.89,0.22,0.85,1.91,60.09
19900116,5.5068,,26.42,30.4,23.27,84.55,0.43,1.59,3.49,4.18
19900117,5.3246,,25.91,31.29,16.87,80.27,0.7,2.6,5.39,28.06
19900118,2.8654,,19.15,23.65,16.32,75.99,0.54,2.03,4.19,1.2
19900119,7.2962,,22.09,28.4,15.01,75.14,0.23,0.97,2.27,0.17
19900120,6.6818,,25.73,30.16,20.97,82.34,0.31,1.06,2.26,23.82
19900121,5.1991,,26.37,29.77,22.67,85.91,0.33,1.24,2.88,13.04
19900122,5.2106,,26.07,30.1,22.78,86.92,0.32,1.13,2.62,7.93
19900123,5.1821,,27.36,31.96,22.93,79.46,0.51,1.85,4.18,1.15
19900124,4.1328,,27.79,31.86,24.85,77.37,0.51,2.0,4.69,29.4
19900125,2.5022,,26.53,29.29,24.42,88.36,0.35,1.11,2.41,7.72
19900126,8.1634,,27.18,29.94,24.83,86.57,0.38,1.45,3.16,0.09
19900127,7.9862,,28.15,32.78,24.47,82.35,0.4,1.46,3.11,0.06
19900128,8.2022,,28.35,33.11,24.69,78.32,0.49,1.76,3.8,0.0
19900129,6.7788,,28.52,33.1,24.7,76.54,0.49,1.8,3.92,0.0
19900130,7.0243,,28.43,34.11,23.67,69.71,0.51,1.8,3.89,0.04
19900131,3.655,,27.15,33.24,23.21,73.58,0.36,1.31,3.09,1.91
19900201,5.2214,,26.56,32.82,21.77,71.16,0.47,1.61,3.58,0.23
19900202,6.971,,27.05,33.38,21.18,67.78,0.47,1.63,3.46,0.29
19900203,6.4898,,26.2,30.48,23.77,81.42,0.42,1.49,3.15,8.66
19900204,6.2551,,26.61,31.35,23.47,79.19,0.34,1.23,2.83,3.03
19900205,6.4625,,27.28,33.11,21.93,75.15,0.25,0.97,2.35,8.3
19900206,7.5806,,27.81,33.41,22.91,72.81,0.29,1.09,2.66,0.12
19900207,6.1118,,28.55,35.0,22.49,68.97,0.31,1.16,2.81,0.11
19900208,6.9595,,29.09,35.99,22.6,65.28,0.32,1.24,2.9,0.95
19900209,4.3337,,28.98,34.3,23.48,66.7,0.29,1.12,2.74,3.45
19900210,6.3607,,26.55,29.4,24.42,83.09,0.32,1.14,2.62,6.79
19900211,3.7723,,25.2,27.71,23.3,90.38,0.23,0.99,2.29,22.72
19900212,5.2877,,26.01,30.71,22.21,83.63,0.26,1.05,2.55,2.04
19900213,5.1713,,26.14,31.32,21.58,74.9,0.35,1.39,3.1,0.05
19900214,6.1867,,25.68,31.21,20.84,73.82,0.38,1.4,3.14,0.2
19900215,6.8988,,26.33,32.3,21.26,71.65,0.38,1.46,3.36,0.0
19900216,7.404,,25.3,31.4,20.53,68.7,0.41,1.63,3.45,0.0
19900217,7.5816,,25.22,32.22,19.14,65.08,0.27,1.24,2.92,0.0
19900218,7.3553,,26.27,33.2,20.16,64.39,0.44,1.58,3.15,0.0
19900219,7.6762,,26.73,34.01,20.54,62.36,0.35,1.42,3.17,0.0
19900220,7.651,,28.45,37.14,20.4,58.56,0.34,1.3,3.08,0.49
19900221,3.4176,,27.85,34.43,22.66,73.0,0.34,1.31,3.06,12.47
19900222,4.8578,,27.89,32.6,23.7,74.92,0.33,1.31,2.92,0.52
19900223,3.2654,,28.05,33.49,23.64,67.6,0.32,1.1,2.42,1.2
19900224,6.6408,,25.63,32.17,19.43,64.58,0.4,1.53,3.49,0.05
19900225,7.0332,,24.63,30.38,19.29,66.39,0.43,1.62,3.65,0.16
19900226,7.033,,23.48,29.79,18.05,58.44,0.48,1.87,4.06,0.04
19900227,6.4783,,22.19,29.08,15.3,57.79,0.49,1.47,2.83,0.0
19900228,6.9396,,23.54,32.42,14.62,51.25,0.31,1.17,2.52,0.0
19900301,7.6094,,25.86,35.15,16.92,50.24,0.25,1.08,2.76,0.03
19900302,7.1546,,27.38,36.23,18.78,50.03,0.27,1.18,2.92,0.0
19900303,7.2091,,29.09,36.61,21.9,57.39,0.33,1.21,2.82,0.06
19900304,6.7102,,29.77,37.2,23.27,61.63,0.41,1.6,3.72,0.48
19900305,6.7154,,30.04,36.41,24.86,59.58,0.54,1.98,4.28,3.3
19900306,4.1822,,27.91,34.08,22.83,71.92,0.38,1.47,3.56,10.21
19900307,6.8455,,28.54,34.9,22.99,70.77,0.36,1.42,3.37,0.97
19900308,4.6783,,30.7,37.53,24.98,58.83,0.44,1.74,4.17,0.05
19900309,6.2822,,31.21,38.78,24.88,56.56,0.47,1.73,4.12,0.06
19900310,5.6988,,31.07,38.0,25.17,57.24,0.44,1.66,3.98,0.02
19900311,5.977,,31.79,38.93,25.3,53.6,0.48,1.86,4.5,0.0
19900312,5.8298,,31.64,38.14,26.1,53.7,0.46,1.81,4.34,0.04
19900313,6.0125,,32.09,39.01,26.59,49.99,0.45,1.71,4.02,0.01
19900314,6.1558,,31.81,39.26,26.06,48.16,0.52,1.98,4.74,0.04
19900315,4.6673,,29.91,37.71,24.19,53.66,0.52,1.93,4.75,3.75
19900316,2.711,,29.9,38.45,22.7,59.13,0.36,1.28,3.03,15.68
19900317,2.5678,,27.22,32.46,23.35,75.58,0.36,1.27,2.78,20.32
19900318,3.5098,,27.1,33.09,22.54,74.61,0.28,1.18,2.84,0.61
19900319,5.2382,,27.42,33.01,22.78,73.04,0.27,1.11,2.52,0.21
19900320,5.4826,,26.96,32.22,22.59,71.81,0.35,1.39,3.29,0.39
19900321,4.8341,,26.02,30.0,22.39,78.65,0.23,0.91,2.29,8.35
19900322,5.8296,,26.7,32.32,21.71,75.1,0.29,1.09,2.44,3.53
19900323,5.4322,,26.67,31.97,22.15,72.06,0.28,1.05,2.45,4.8
19900324,5.7912,,25.34,31.24,19.46,66.55,0.36,1.46,3.36,0.04
19900325,3.709,,21.03,26.49,18.17,68.43,0.4,1.58,3.3,0.03
19900326,0.7579,,19.74,23.77,17.38,88.39,0.4,1.34,2.78,35.88
19900327,6.0533,,16.6,20.01,13.79,81.62,0.4,1.63,3.5,3.77
