date,ET0_mm
19900101,5.8546
19900102,4.7860
19900103,6.6847
19900104,6.1050
19900105,6.6189
19900106,6.2983
19900107,6.6228
19900108,6.2405
19900109,4.8294
19900110,3.9518
19900111,5.5069
19900112,5.9769
19900113,4.6837
19900114,4.3263
19900115,3.5429
19900116,4.2267
19900117,4.1725
19900118,2.5221
19900119,4.8708
19900120,4.8668
19900121,3.9600
19900122,3.9480
19900123,4.2424
19900124,3.7376
19900125,2.2124
19900126,5.9220
19900127,6.0505
19900128,6.2946
19900129,5.4345
19900130,5.7393
19900131,3.3519
19900201,4.3813
19900202,5.5048
19900203,4.8577
19900204,4.7661
19900205,4.9572
19900206,5.7615
19900207,4.9848
19900208,5.6541
19900209,3.8765
19900210,4.7112
19900211,2.8887
19900212,3.9954
19900213,4.1074
19900214,4.6750
19900215,5.2213
19900216,5.4651
19900217,5.4921
19900218,5.6175
19900219,5.8416
19900220,6.0842
19900221,3.2146
19900222,4.0201
19900223,3.1240
19900224,5.0587
19900225,5.1147
19900226,5.2081
19900227,4.6253
19900228,4.9875
19900301,5.5676
19900302,5.5517
19900303,5.7257
19900304,5.6992
19900305,5.9175
19900306,3.7076
19900307,5.3758
19900308,4.6772
19900309,5.7602
19900310,5.2965
19900311,5.7243
19900312,5.5623
19900313,5.7413
19900314,6.0588
19900315,4.8793
19900316,3.1682
19900317,2.5123
19900318,3.0569
19900319,4.0754
19900320,4.2466
19900321,3.5636
19900322,4.2914
19900323,4.0621
19900324,4.2831
19900325,2.9636
19900326,1.0334
19900327,3.2191
19900328,3.6034
19900329,3.8871
19900330,3.8506
19900331,2.7975
19900401,3.7550
19900402,2.3247
19900403,3.5542
19900404,3.8969
19900405,4.1797
19900406,3.5343
19900407,3.2458
19900408,2.5299
19900409,3.4402
19900410,3.8073
19900411,2.7827
19900412,3.0427
19900413,1.9438
19900414,3.6238
19900415,3.9329
19900416,1.6468
19900417,1.2725
19900418,2.9024
19900419,2.3077
19900420,1.7345
19900421,2.8265
19900422,3.2244
19900423,1.0732
19900424,2.1973
19900425,3.1321
19900426,2.8619
19900427,2.0743
19900428,1.1510
19900429,2.1179
19900430,2.5864
19900501,2.2534
19900502,2.4961
19900503,2.3392
19900504,2.5299
19900505,1.6069
19900506,1.8003
19900507,1.9508
19900508,2.1193
19900509,2.7692
19900510,2.3034
19900511,2.5196
19900512,2.5835
19900513,2.3882
19900514,1.1673
19900515,1.9312
19900516,1.0831
19900517,1.8540
19900518,1.5785
19900519,1.6707
19900520,1.6574
19900521,1.8411
19900522,1.6003
19900523,1.6482
19900524,1.8526
19900525,1.6944
19900526,2.1849
19900527,1.2714
19900528,1.2071
19900529,0.9682
19900530,1.0590
19900531,1.5643
19900601,1.0500
19900602,1.3622
19900603,1.2296
19900604,1.0496
19900605,0.9860
19900606,1.5264
19900607,1.5600
19900608,1.2954
19900609,1.1541
19900610,1.1817
19900611,1.2375
19900612,0.9803
19900613,0.9067
19900614,1.2551
19900615,1.3668
19900616,1.5212
19900617,1.5447
19900618,1.7079
19900619,1.4103
19900620,1.2675
19900621,1.2520
19900622,1.3345
19900623,1.2063
19900624,1.0531
19900625,1.4206
19900626,1.4929
19900627,1.6017
19900628,1.5410
19900629,1.1682
19900630,1.4329
19900701,1.2791
19900702,0.8973
19900703,1.3262
19900704,1.4667
19900705,1.0515
19900706,1.3124
19900707,1.6339
19900708,1.1533
19900709,1.1123
19900710,1.3823
19900711,1.6207
19900712,1.7145
19900713,1.8260
19900714,2.0717
19900715,1.4458
19900716,1.8701
19900717,1.6998
19900718,1.1180
19900719,1.2411
19900720,1.3615
19900721,1.6219
19900722,1.5050
19900723,1.1256
19900724,1.6782
19900725,1.7172
19900726,1.9274
19900727,1.7874
19900728,1.6955
19900729,1.7608
19900730,1.6822
19900731,1.7142
19900801,1.8631
19900802,1.6879
19900803,2.0886
19900804,1.0021
19900805,1.4878
19900806,2.4433
19900807,2.8468
19900808,2.3767
19900809,2.5343
19900810,2.4706
19900811,2.5863
19900812,2.6684
19900813,2.9127
19900814,2.6314
19900815,2.3187
19900816,1.8053
19900817,2.5263
19900818,1.2063
19900819,1.2731
19900820,2.0549
19900821,2.4067
19900822,1.7954
19900823,2.5931
19900824,1.7315
19900825,2.0835
19900826,1.1767
19900827,1.9004
19900828,2.7740
19900829,2.3250
19900830,2.9394
19900831,2.4255
19900901,1.4746
19900902,1.6679
19900903,1.6221
19900904,1.7016
19900905,2.7763
19900906,1.5123
19900907,1.8526
19900908,2.6805
19900909,2.9445
19900910,3.3553
19900911,2.8482
19900912,1.9914
19900913,2.1929
19900914,2.8631
19900915,2.9463
19900916,3.3080
19900917,3.4478
19900918,3.3451
19900919,3.3293
19900920,3.4151
19900921,3.8139
19900922,1.6707
19900923,2.5428
19900924,3.1221
19900925,3.4519
19900926,3.3618
19900927,3.8327
19900928,1.0472
19900929,1.5495
19900930,2.6182
19901001,3.6541
19901002,4.2558
19901003,4.2238
19901004,4.5404
19901005,4.6378
19901006,1.9430
19901007,4.3691
19901008,1.7539
19901009,3.0008
19901010,4.6960
19901011,5.2518
19901012,3.4147
19901013,3.0425
19901014,2.7815
19901015,4.1349
19901016,2.2330
19901017,1.6580
19901018,1.5150
19901019,3.7063
19901020,4.3013
19901021,3.9966
19901022,4.7619
19901023,4.5052
19901024,2.2135
19901025,2.8185
19901026,3.1559
19901027,5.2038
19901028,2.9503
19901029,3.5940
19901030,4.2553
19901031,2.9795
19901101,5.4871
19901102,5.2406
19901103,5.4329
19901104,2.5432
19901105,4.1174
19901106,2.2266
19901107,3.0676
19901108,2.4507
19901109,3.0403
19901110,5.0847
19901111,4.4367
19901112,5.3001
19901113,6.7735
19901114,6.6725
19901115,6.8199
19901116,1.7258
19901117,4.4118
19901118,4.9779
19901119,6.2201
19901120,4.2751
19901121,3.4106
19901122,6.2635
19901123,6.2746
19901124,5.7580
19901125,5.6354
19901126,3.5167
19901127,5.8938
19901128,5.6302
19901129,5.9389
19901130,5.9966
19901201,5.3823
19901202,4.2808
19901203,3.4387
19901204,5.5692
19901205,4.7473
19901206,5.3550
19901207,3.6065
19901208,4.9827
19901209,3.1880
19901210,2.5489
19901211,5.0308
19901212,4.1146
19901213,3.1139
19901214,5.2359
19901215,5.9779
19901216,6.1397
19901217,6.2996
19901218,3.3209
19901219,4.1936
19901220,5.2365
19901221,6.7433
19901222,6.0051
19901223,4.8425
19901224,5.3051
19901225,6.2884
19901226,6.4244
19901227,6.3542
19901228,3.7093
19901229,6.4147
19901230,5.8103
19901231,6.8165
19910101,6.5498
19910102,2.5208
19910103,4.2758
19910104,5.3199
19910105,6.5414
19910106,6.8609
19910107,6.3257
19910108,6.6036
19910109,6.4481
19910110,4.1496
19910111,4.7958
19910112,6.5294
19910113,6.5490
19910114,6.7156
19910115,6.6311
19910116,6.5966
