year_month,ET0_mm_sum,n_days
1990-01,153.58,31
1990-02,134.20,28
1990-03,135.86,31
1990-04,82.70,30
1990-05,57.49,31
1990-06,39.10,30
1990-07,46.80,31
1990-08,66.94,31
1990-09,78.29,30
1990-10,109.55,31
1990-11,144.62,30
1990-12,156.48,31
1991-01,171.21,31
1991-02,140.09,28
1991-03,121.44,31
1991-04,98.44,30
1991-05,68.44,31
1991-06,49.18,30
1991-07,62.46,31
1991-08,86.03,31
1991-09,107.91,30
1991-10,134.46,31
1991-11,150.80,30
1991-12,160.16,31
1992-01,176.71,31
1992-02,133.74,29
1992-03,104.21,31
1992-04,82.43,30
1992-05,52.86,31
1992-06,45.61,30
1992-07,44.15,31
1992-08,64.75,31
1992-09,82.64,30
1992-10,101.13,31
1992-11,127.33,30
1992-12,151.79,31
1993-01,156.44,31
1993-02,129.38,28
1993-03,137.65,31
1993-04,103.33,30
1993-05,74.36,31
1993-06,51.23,30
1993-07,52.93,31
1993-08,71.95,31
1993-09,94.85,30
1993-10,115.09,31
1993-11,140.90,30
1993-12,165.48,31
1994-01,174.73,31
1994-02,118.75,28
1994-03,136.21,31
1994-04,93.80,30
1994-05,70.25,31
1994-06,48.65,30
1994-07,56.52,31
1994-08,82.68,31
1994-09,121.91,30
1994-10,122.79,31
1994-11,130.75,30
1994-12,153.55,31
1995-01,142.19,31
1995-02,128.33,28
1995-03,105.33,31
1995-04,84.48,30
1995-05,63.04,31
1995-06,63.47,30
1995-07,72.11,31
1995-08,101.87,31
1995-09,120.57,30
1995-10,128.31,31
1995-11,173.96,30
1995-12,178.60,31
1996-01,167.51,31
1996-02,129.60,29
1996-03,120.11,31
1996-04,83.39,30
1996-05,62.37,31
1996-06,46.66,30
1996-07,54.78,31
1996-08,83.47,31
1996-09,94.08,30
1996-10,101.46,31
1996-11,134.64,30
1996-12,139.00,31
1997-01,166.51,31
1997-02,127.49,28
1997-03,135.75,31
1997-04,102.27,30
1997-05,73.27,31
1997-06,49.84,30
1997-07,64.90,31
1997-08,86.62,31
1997-09,101.37,30
1997-10,125.85,31
1997-11,129.84,30
1997-12,163.08,31
1998-01,176.53,31
1998-02,109.48,28
1998-03,99.56,31
1998-04,75.55,30
1998-05,62.67,31
1998-06,45.90,30
1998-07,53.61,31
1998-08,53.35,31
1998-09,81.88,30
1998-10,118.30,31
1998-11,143.15,30
1998-12,154.63,31
1999-01,165.79,31
1999-02,144.28,28
1999-03,130.37,31
1999-04,82.56,30
1999-05,66.65,31
1999-06,43.10,30
1999-07,47.81,31
1999-08,84.26,31
1999-09,122.61,30
1999-10,150.88,31
