bucket,date,scene_id,cloud_pct,valid_pixels,ndvi_mean,ndwi_mean,mndwi_mean,aweish_mean
2020-H1,2020-03-24,S2B_21JVM_20200324_1_L2A,0.004104,100860,0.7610350847244263,-0.7003179788589478,-0.5791510343551636,-0.6566924452781677
2020-H2,2020-12-09,S2B_21JVM_20201209_1_L2A,0.003224,100844,0.766178548336029,-0.6930509805679321,-0.5586180090904236,-0.7670405507087708
2021-H1,2021-05-08,S2B_21JVM_20210508_1_L2A,0.004754,100816,0.8251883387565613,-0.7671009302139282,-0.6277318000793457,-0.6030718088150024
2021-H2,2021-12-24,S2B_21JVM_20211224_1_L2A,0.003692,100860,0.7397814989089966,-0.6853844523429871,-0.5728968381881714,-0.7306761741638184
2022-H1,2022-04-18,S2A_21JVM_20220418_0_L2A,0.005662,100868,0.808790922164917,-0.7359621524810791,-0.5989094972610474,-0.6473670601844788
2022-H2,2022-11-24,S2A_21JVM_20221124_0_L2A,0.003481,100860,0.7697055339813232,-0.6905477643013,-0.5621715784072876,-0.7408420443534851
2023-H1,2023-03-19,S2B_21JVM_20230319_1_L2A,0.004665,100860,0.7890512943267822,-0.7089604139328003,-0.5745841860771179,-0.6338284611701965
2023-H2,2023-10-10,S2A_21JVM_20231010_0_L2A,0.004171,100860,0.7336647510528564,-0.6646918654441833,-0.5590702891349792,-0.6734382510185242
2024-H1,2024-03-13,S2B_21JVM_20240313_0_L2A,0.003606,100860,0.7823109030723572,-0.7220069766044617,-0.6133922934532166,-0.6640769839286804
2024-H2,2024-10-19,S2B_21JVM_20241019_1_L2A,0.002298,18524,0.7282277941703796,-0.6579148769378662,-0.5580915212631226,-0.667509138584137
2025-H1,2025-05-12,S2C_21JVM_20250512_0_L2A,0.004362,100864,0.80115807056427,-0.7452327609062195,-0.6163235306739807,-0.6330889463424683
2025-H2,2025-10-14,S2B_21JVM_20251014_0_L2A,0.003693,100856,0.7709622979164124,-0.699491024017334,-0.557054877281189,-0.7119413018226624
