grid_id,lon,lat,property,depth,unit,d_factor,mean,uncertainty
0,-57.047,-25.622,bdod,0-5cm,cg/cm³,100,118,9
0,-57.047,-25.622,bdod,5-15cm,cg/cm³,100,122,7
0,-57.047,-25.622,bdod,15-30cm,cg/cm³,100,126,7
0,-57.047,-25.622,bdod,30-60cm,cg/cm³,100,129,7
0,-57.047,-25.622,bdod,60-100cm,cg/cm³,100,133,7
0,-57.047,-25.622,bdod,100-200cm,cg/cm³,100,134,7
0,-57.047,-25.622,cec,0-5cm,mmol(c)/kg,10,222,31
0,-57.047,-25.622,cec,5-15cm,mmol(c)/kg,10,210,34
0,-57.047,-25.622,cec,15-30cm,mmol(c)/kg,10,204,38
0,-57.047,-25.622,cec,30-60cm,mmol(c)/kg,10,211,33
0,-57.047,-25.622,cec,60-100cm,mmol(c)/kg,10,205,36
0,-57.047,-25.622,cec,100-200cm,mmol(c)/kg,10,204,36
0,-57.047,-25.622,cfvo,0-5cm,cm³/dm³,10,55,275
0,-57.047,-25.622,cfvo,5-15cm,cm³/dm³,10,60,331
0,-57.047,-25.622,cfvo,15-30cm,cm³/dm³,10,59,333
0,-57.047,-25.622,cfvo,30-60cm,cm³/dm³,10,70,400
0,-57.047,-25.622,cfvo,60-100cm,cm³/dm³,10,73,406
0,-57.047,-25.622,cfvo,100-200cm,cm³/dm³,10,83,510
0,-57.047,-25.622,clay,0-5cm,g/kg,10,208,64
0,-57.047,-25.622,clay,5-15cm,g/kg,10,224,64
0,-57.047,-25.622,clay,15-30cm,g/kg,10,245,54
0,-57.047,-25.622,clay,30-60cm,g/kg,10,278,39
0,-57.047,-25.622,clay,60-100cm,g/kg,10,296,39
0,-57.047,-25.622,clay,100-200cm,g/kg,10,325,36
0,-57.047,-25.622,nitrogen,0-5cm,cg/kg,100,273,29
0,-57.047,-25.622,nitrogen,5-15cm,cg/kg,100,168,31
0,-57.047,-25.622,nitrogen,15-30cm,cg/kg,100,120,31
0,-57.047,-25.622,nitrogen,30-60cm,cg/kg,100,78,36
0,-57.047,-25.622,nitrogen,60-100cm,cg/kg,100,49,25
0,-57.047,-25.622,nitrogen,100-200cm,cg/kg,100,48,30
0,-57.047,-25.622,phh2o,0-5cm,pH*10,10,52,5
0,-57.047,-25.622,phh2o,5-15cm,pH*10,10,52,6
0,-57.047,-25.622,phh2o,15-30cm,pH*10,10,53,5
0,-57.047,-25.622,phh2o,30-60cm,pH*10,10,53,6
0,-57.047,-25.622,phh2o,60-100cm,pH*10,10,53,6
0,-57.047,-25.622,phh2o,100-200cm,pH*10,10,53,6
0,-57.047,-25.622,sand,0-5cm,g/kg,10,561,12
0,-57.047,-25.622,sand,5-15cm,g/kg,10,551,12
0,-57.047,-25.622,sand,15-30cm,g/kg,10,534,12
0,-57.047,-25.622,sand,30-60cm,g/kg,10,506,13
0,-57.047,-25.622,sand,60-100cm,g/kg,10,487,14
0,-57.047,-25.622,sand,100-200cm,g/kg,10,475,14
0,-57.047,-25.622,silt,0-5cm,g/kg,10,231,48
0,-57.047,-25.622,silt,5-15cm,g/kg,10,226,50
0,-57.047,-25.622,silt,15-30cm,g/kg,10,221,49
0,-57.047,-25.622,silt,30-60cm,g/kg,10,217,50
0,-57.047,-25.622,silt,60-100cm,g/kg,10,218,50
0,-57.047,-25.622,silt,100-200cm,g/kg,10,201,49
0,-57.047,-25.622,soc,0-5cm,dg/kg,10,569,58
0,-57.047,-25.622,soc,5-15cm,dg/kg,10,397,93
0,-57.047,-25.622,soc,15-30cm,dg/kg,10,204,58
0,-57.047,-25.622,soc,30-60cm,dg/kg,10,109,56
0,-57.047,-25.622,soc,60-100cm,dg/kg,10,80,53
0,-57.047,-25.622,soc,100-200cm,dg/kg,10,79,96
