point_id,lon,lat,note,property,depth,value,target_units,mapped_units
centroid,-57.0355,-25.6073,polygon centroid,clay,0-5cm,19.500,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,clay,5-15cm,21.600,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,clay,15-30cm,21.600,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,clay,30-60cm,28.000,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,clay,60-100cm,29.900,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,clay,100-200cm,31.100,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,0-5cm,60.100,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,5-15cm,58.500,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,15-30cm,58.300,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,30-60cm,53.500,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,60-100cm,51.300,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,sand,100-200cm,50.400,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,0-5cm,20.300,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,5-15cm,20.000,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,15-30cm,20.100,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,30-60cm,18.500,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,60-100cm,18.800,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,silt,100-200cm,18.500,%,g/kg
centroid,-57.0355,-25.6073,polygon centroid,phh2o,0-5cm,5.400,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,phh2o,5-15cm,5.400,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,phh2o,15-30cm,5.300,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,phh2o,30-60cm,5.400,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,phh2o,60-100cm,5.400,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,phh2o,100-200cm,5.400,-,pH*10
centroid,-57.0355,-25.6073,polygon centroid,bdod,0-5cm,1.190,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,bdod,5-15cm,1.240,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,bdod,15-30cm,1.270,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,bdod,30-60cm,1.280,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,bdod,60-100cm,1.310,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,bdod,100-200cm,1.320,kg/dm³,cg/cm³
centroid,-57.0355,-25.6073,polygon centroid,cec,0-5cm,19.400,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,cec,5-15cm,19.200,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,cec,15-30cm,17.100,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,cec,30-60cm,16.900,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,cec,60-100cm,17.000,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,cec,100-200cm,16.300,cmol(c)/kg,mmol(c)/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,0-5cm,3.030,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,5-15cm,1.980,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,15-30cm,1.220,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,30-60cm,0.730,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,60-100cm,0.500,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,nitrogen,100-200cm,0.420,g/kg,cg/kg
centroid,-57.0355,-25.6073,polygon centroid,ocd,0-5cm,40.600,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,ocd,5-15cm,30.100,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,ocd,15-30cm,20.500,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,ocd,30-60cm,10.800,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,ocd,60-100cm,6.400,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,ocd,100-200cm,3.700,hg/m³,dg/dm³
centroid,-57.0355,-25.6073,polygon centroid,soc,0-5cm,36.400,g/kg,dg/kg
centroid,-57.0355,-25.6073,polygon centroid,soc,5-15cm,26.800,g/kg,dg/kg
centroid,-57.0355,-25.6073,polygon centroid,soc,15-30cm,17.800,g/kg,dg/kg
centroid,-57.0355,-25.6073,polygon centroid,soc,30-60cm,8.200,g/kg,dg/kg
centroid,-57.0355,-25.6073,polygon centroid,soc,60-100cm,6.700,g/kg,dg/kg
centroid,-57.0355,-25.6073,polygon centroid,soc,100-200cm,7.300,g/kg,dg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,0-5cm,19.200,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,5-15cm,20.900,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,15-30cm,20.600,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,30-60cm,27.200,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,60-100cm,29.400,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),clay,100-200cm,30.900,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,0-5cm,60.200,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,5-15cm,59.000,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,15-30cm,59.100,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,30-60cm,54.000,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,60-100cm,51.800,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),sand,100-200cm,51.400,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,0-5cm,20.600,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,5-15cm,20.100,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,15-30cm,20.200,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,30-60cm,18.800,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,60-100cm,18.800,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),silt,100-200cm,17.700,%,g/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,0-5cm,5.400,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,5-15cm,5.400,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,15-30cm,5.300,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,30-60cm,5.300,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,60-100cm,5.300,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),phh2o,100-200cm,5.300,-,pH*10
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,0-5cm,1.170,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,5-15cm,1.230,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,15-30cm,1.260,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,30-60cm,1.290,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,60-100cm,1.320,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),bdod,100-200cm,1.320,kg/dm³,cg/cm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,0-5cm,20.200,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,5-15cm,19.200,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,15-30cm,17.700,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,30-60cm,17.300,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,60-100cm,17.300,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),cec,100-200cm,16.800,cmol(c)/kg,mmol(c)/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,0-5cm,3.220,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,5-15cm,2.050,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,15-30cm,1.220,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,30-60cm,0.710,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,60-100cm,0.530,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),nitrogen,100-200cm,0.410,g/kg,cg/kg
nw_high,-57.03844,-25.60542,NW corner (high ridge),ocd,0-5cm,41.800,hg/m³,dg/dm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),ocd,5-15cm,32.000,hg/m³,dg/dm³
nw_high,-57.03844,-25.60542,NW corner (high ridge),ocd,15-30cm,22.200,hg/m³,dg/dm³
