species,kingdom,family,genus,decimalLatitude,decimalLongitude,year,basisOfRecord,occurrenceID,license
Turdus amaurochalinus,Animalia,Turdidae,Turdus,-25.1718,-57.4809,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333040734,http://creativecommons.org/licenses/by/4.0/legalcode
Caracara plancus,Animalia,Falconidae,Caracara,-24.937526,-57.492027,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333360914,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sicalis flaveola,Animalia,Thraupidae,Sicalis,-25.3286,-57.5446,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333139574,http://creativecommons.org/licenses/by/4.0/legalcode
Polioptila dumicola,Animalia,Polioptilidae,Polioptila,-25.304973,-57.527825,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333177099,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Sapindus saponaria,Plantae,Sapindaceae,Sapindus,-25.299937,-57.596045,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333050068,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Ictinia mississippiensis,Animalia,Accipitridae,Ictinia,-25.611671,-56.883432,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333578104,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Furnarius rufus,Animalia,Furnariidae,Furnarius,-25.328,-57.544,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333139521,http://creativecommons.org/licenses/by/4.0/legalcode
Nesticodes rufipes,Animalia,Theridiidae,Nesticodes,-27.051026,-55.566106,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333301681,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Guira guira,Animalia,Cuculidae,Guira,-24.903118,-57.502042,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333361167,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Brotogeris chiriri,Animalia,Psittacidae,Brotogeris,-25.60758,-56.870762,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333284817,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myiopsitta monachus,Animalia,Psittacidae,Myiopsitta,-25.3324,-57.528,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333572293,http://creativecommons.org/licenses/by/4.0/legalcode
Phoneutria nigriventer,Animalia,Ctenidae,Phoneutria,-25.461742,-56.879222,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333169956,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Myiopsitta monachus,Animalia,Psittacidae,Myiopsitta,-25.3279,-57.5441,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333139562,http://creativecommons.org/licenses/by/4.0/legalcode
Leptotila verreauxi,Animalia,Columbidae,Leptotila,-25.3323,-57.5287,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/333322417,http://creativecommons.org/licenses/by/4.0/legalcode
