feature_id,lon,lat,elevation_m,slope_pct,rock_score,rock_type_guess,tree_cover_pct
R0000,-57.03708333331618,-25.615138888904486,187.0,0.4,1.0,Outcrop,0
R0001,-57.0268055555384,-25.615138888904486,179.0,0.9,1.0,Outcrop,0
R0002,-57.02652777776063,-25.615138888904486,184.0,0.8,1.0,Outcrop,0
R0003,-57.026249999982845,-25.615138888904486,190.0,0.7,1.0,Outcrop,0
R0004,-57.02597222220507,-25.615138888904486,193.0,0.6,1.0,Outcrop,0
R0005,-57.02569444442729,-25.615138888904486,193.0,0.7,1.0,Outcrop,0
R0006,-57.02541666664951,-25.615138888904486,191.0,0.2,1.0,Outcrop,0
R0007,-57.02513888887174,-25.615138888904486,192.0,0.2,1.0,Outcrop,0
R0008,-57.024861111093955,-25.615138888904486,193.0,0.4,1.0,Outcrop,0
R0009,-57.02458333331618,-25.615138888904486,194.0,0.3,1.0,Outcrop,0
R0010,-57.024305555538405,-25.615138888904486,197.0,0.4,1.0,Outcrop,0
R0011,-57.02402777776062,-25.615138888904486,199.0,0.3,1.0,Outcrop,0
R0012,-57.02374999998285,-25.615138888904486,203.0,0.5,1.0,Outcrop,0
R0013,-57.023472222205065,-25.615138888904486,205.0,0.6,1.0,Outcrop,0
R0014,-57.02319444442729,-25.615138888904486,209.0,0.4,1.0,Outcrop,0
R0015,-57.022916666649515,-25.615138888904486,209.0,0.2,1.0,Outcrop,0
R0016,-57.02263888887173,-25.615138888904486,211.0,0.4,1.0,Outcrop,0
R0017,-57.02236111109396,-25.615138888904486,215.0,0.6,1.0,Outcrop,0
R0018,-57.02208333331618,-25.615138888904486,219.0,0.4,1.0,Outcrop,0
R0019,-57.0218055555384,-25.615138888904486,220.0,0.2,1.0,Outcrop,0
R0020,-57.021527777760625,-25.615138888904486,222.0,0.5,1.0,Outcrop,0
R0021,-57.02124999998284,-25.615138888904486,228.0,1.0,1.0,Outcrop,0
R0022,-57.02097222220507,-25.615138888904486,233.0,1.1,1.0,Outcrop,0
R0023,-57.02069444442729,-25.615138888904486,234.0,0.8,1.0,Outcrop,0
R0024,-57.02041666664951,-25.615138888904486,231.0,0.3,1.0,Outcrop,0
R0025,-57.020138888871735,-25.615138888904486,234.0,0.7,1.0,Outcrop,0
R0026,-57.01986111109396,-25.615138888904486,242.0,0.9,1.0,Outcrop,0
R0027,-57.01958333331618,-25.615138888904486,245.0,0.8,1.0,Outcrop,0
R0028,-57.0193055555384,-25.615138888904486,247.0,1.0,1.0,Outcrop,0
R0029,-57.01902777776062,-25.615138888904486,253.0,1.1,1.0,Outcrop,0
R0030,-57.018749999982845,-25.615138888904486,255.0,0.7,1.0,Outcrop,0
R0031,-57.01847222220507,-25.615138888904486,258.0,0.5,1.0,Outcrop,0
R0032,-57.01819444442729,-25.615138888904486,257.0,0.4,1.0,Outcrop,0
R0033,-57.01791666664951,-25.615138888904486,261.0,0.4,1.0,Outcrop,0
R0034,-57.01763888887174,-25.615138888904486,262.0,0.2,1.0,Outcrop,0
R0035,-57.017361111093955,-25.615138888904486,264.0,0.5,1.0,Outcrop,0
R0036,-57.01708333331618,-25.615138888904486,270.0,0.9,1.0,Outcrop,0
R0037,-57.0168055555384,-25.615138888904486,274.0,0.6,1.0,Outcrop,0
R0038,-57.01652777776062,-25.615138888904486,276.0,0.7,1.0,Outcrop,0
R0039,-57.01624999998285,-25.615138888904486,283.0,0.7,1.0,Outcrop,0
R0040,-57.015972222205065,-25.615138888904486,288.0,0.4,1.0,Outcrop,0
R0041,-57.01569444442729,-25.615138888904486,290.0,0.5,1.0,Outcrop,0
