tree_id,lon,lat,canopy_height_m,estimated_dbh_cm,species_category,elevation_m,aspect,sun_exposure,tree_cover_2000_pct,slope_pct
T0000,-57.03569444442729,-25.615138888904486,13.2,29.7,Subcanopy (various native hardwoods),184.0,45.0,NE (good),0.0,0.5
T0001,-57.03152777776062,-25.615138888904486,14.8,34.4,Subcanopy (various native hardwoods),158.0,180.0,S (low),0.0,0.2
T0002,-57.01986111109396,-25.615138888904486,12.6,27.7,Subcanopy (various native hardwoods),242.0,223.0,SW (partial),0.0,0.9
T0003,-57.018749999982845,-25.615138888904486,14.2,32.6,Subcanopy (various native hardwoods),255.0,203.0,SW (partial),0.0,0.7
T0004,-57.015416666649514,-25.615138888904486,11.8,25.4,Subcanopy (various native hardwoods),297.0,236.0,SW (partial),0.0,0.6
T0005,-57.04013888887174,-25.616250000015597,12.6,27.9,Subcanopy (various native hardwoods),229.0,61.0,NE (good),0.0,0.6
T0006,-57.02541666664951,-25.616527777793376,14.8,34.5,Subcanopy (various native hardwoods),173.0,203.0,SW (partial),0.0,0.8
T0007,-57.04486111109396,-25.616805555571155,11.3,24.0,Subcanopy (various native hardwoods),238.0,163.0,S (low),0.0,0.8
T0008,-57.029027777760625,-25.616805555571155,16.6,43.0,Mature canopy (Yvyra pytá/Petereby),166.0,149.0,SE (partial),0.0,0.3
T0009,-57.015972222205065,-25.617083333348933,15.9,39.5,Mature canopy (Yvyra pytá/Petereby),265.0,211.0,SW (partial),0.0,0.3
T0010,-57.01902777776062,-25.617638888904487,17.1,45.4,Mature canopy (Yvyra pytá/Petereby),212.0,225.0,SW (partial),0.0,0.7
T0011,-57.03986111109396,-25.617916666682266,11.9,25.7,Subcanopy (various native hardwoods),253.0,16.0,N (full),0.0,1.0
T0012,-57.035138888871735,-25.618194444460045,12.9,28.7,Subcanopy (various native hardwoods),186.0,106.0,E (morning),0.0,0.4
T0013,-57.02874999998285,-25.61847222223782,19.5,57.3,Mature canopy (Yvyra pytá/Petereby),167.0,261.0,W (afternoon),0.0,0.7
T0014,-57.02541666664951,-25.61847222223782,19.5,57.6,Mature canopy (Yvyra pytá/Petereby),157.0,202.0,S (low),0.0,0.3
T0015,-57.0168055555384,-25.61847222223782,15.8,38.9,Mature canopy (Yvyra pytá/Petereby),255.0,268.0,W (afternoon),0.0,1.4
T0016,-57.02097222220507,-25.619305555571156,13.7,31.2,Subcanopy (various native hardwoods),208.0,335.0,NW (good),0.0,1.0
T0017,-57.01708333331618,-25.61986111112671,14.9,34.6,Subcanopy (various native hardwoods),284.0,302.0,NW (good),0.0,1.7
T0018,-57.035138888871735,-25.620694444460042,17.9,49.6,Mature canopy (Yvyra pytá/Petereby),188.0,160.0,S (low),0.0,0.7
T0019,-57.02208333331618,-25.620694444460042,18.7,53.4,Mature canopy (Yvyra pytá/Petereby),242.0,210.0,SW (partial),0.0,0.9
T0020,-57.03958333331618,-25.62152777779338,14.0,32.1,Subcanopy (various native hardwoods),194.0,180.0,S (low),0.0,0.1
T0021,-57.01652777776062,-25.62152777779338,15.1,35.4,Mature canopy (Yvyra pytá/Petereby),351.0,207.0,SW (partial),0.0,0.1
T0022,-57.04097222220507,-25.621805555571154,11.5,24.4,Subcanopy (various native hardwoods),195.0,162.0,S (low),0.0,0.2
T0023,-57.03736111109396,-25.621805555571154,15.3,36.3,Mature canopy (Yvyra pytá/Petereby),177.0,177.0,S (low),0.0,1.1
T0024,-57.04319444442729,-25.62236111112671,13.9,31.7,Subcanopy (various native hardwoods),199.0,197.0,S (low),0.0,0.6
T0025,-57.02513888887174,-25.62236111112671,15.9,39.5,Mature canopy (Yvyra pytá/Petereby),158.0,225.0,SW (partial),0.0,0.5
T0026,-57.01958333331618,-25.62236111112671,19.5,57.6,Mature canopy (Yvyra pytá/Petereby),261.0,238.0,SW (partial),0.0,1.4
T0027,-57.03597222220507,-25.62263888890449,18.5,52.7,Mature canopy (Yvyra pytá/Petereby),163.0,198.0,S (low),0.0,0.2
T0028,-57.017361111093955,-25.622916666682265,16.5,42.4,Mature canopy (Yvyra pytá/Petereby),343.0,270.0,W (afternoon),0.0,0.1
T0029,-57.031805555538405,-25.623194444460044,12.6,27.9,Subcanopy (various native hardwoods),145.0,149.0,SE (partial),0.0,0.3
T0030,-57.03541666664952,-25.624027777793376,11.8,25.3,Subcanopy (various native hardwoods),156.0,342.0,N (full),0.0,0.2
T0031,-57.02958333331618,-25.624583333348934,14.0,31.9,Subcanopy (various native hardwoods),139.0,180.0,S (low),0.0,0.3
T0032,-57.01958333331618,-25.624583333348934,16.1,40.5,Mature canopy (Yvyra pytá/Petereby),266.0,270.0,W (afternoon),0.0,2.3
T0033,-57.01513888887173,-25.624583333348934,12.8,28.5,Subcanopy (various native hardwoods),267.0,132.0,SE (partial),0.0,1.5
T0034,-57.01763888887174,-25.625138888904488,17.5,47.7,Mature canopy (Yvyra pytá/Petereby),310.0,201.0,S (low),0.0,1.9
T0035,-57.024861111093955,-25.625416666682266,12.6,27.7,Subcanopy (various native hardwoods),154.0,288.0,W (afternoon),0.0,0.4
T0036,-57.037916666649515,-25.625694444460045,14.4,33.3,Subcanopy (various native hardwoods),171.0,104.0,E (morning),0.0,0.5
T0037,-57.03708333331618,-25.625972222237824,15.2,36.0,Mature canopy (Yvyra pytá/Petereby),167.0,0.0,N (full),0.0,0.1
